scenario_id,scenario_label,season,week,game_id,team,player,position,player_id,is_active,pass_attempts,pass_yards,pass_tds,interceptions,rush_attempts,rush_yards,rush_tds,targets,receptions,rec_yards,rec_tds,any_td_prob,is_active_pid,is_active_nm,team_plays,team_pass_attempts,team_rush_attempts,team_pass_yards,team_rush_yards,team_exp_pass_tds,team_exp_rush_tds,team_exp_int,points_scale,vol_scale,yds_scale,td_scale
v2_baseline,Baseline,2025,22,2025_22_New_England_Patriots_Seattle_Seahawks,Seattle Seahawks,Jake Bobo,WR,00-0038752,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,72.0,41.24,27.94,313.0,138.2,2.4479510870903813,0.835885737055252,1.030997014925373,1.0,1.0,1.0,1.0
v2_baseline,Baseline,2025,22,2025_22_New_England_Patriots_Seattle_Seahawks,Seattle Seahawks,Jaxon Smith-Njigba,WR,00-0038543,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.65,6.74,58.8,0.53,0.4113950303216448,1.0,1.0,72.0,41.24,27.94,313.0,138.2,2.4479510870903813,0.835885737055252,1.030997014925373,1.0,1.0,1.0,1.0
v2_baseline,Baseline,2025,22,2025_22_New_England_Patriots_Seattle_Seahawks,Seattle Seahawks,Rashid Shaheed,WR,00-0037545,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.85,3.09,28.5,0.26,0.22894841419643375,1.0,1.0,72.0,41.24,27.94,313.0,138.2,2.4479510870903813,0.835885737055252,1.030997014925373,1.0,1.0,1.0,1.0
v2_blend_10_20,Market blend m=0.10 t=0.20,2025,22,2025_22_New_England_Patriots_Seattle_Seahawks,New England Patriots,Drake Maye,QB,00-0039851,1.0,33.087564084189104,188.49954624004954,1.2619346763811412,0.6865896727875677,8.461208026411494,23.790222001295188,0.19336095847775553,0.0,0.0,0.0,0.0,0.17581557591437613,1.0,1.0,72.69773005986009,32.350489876637745,38.13601756056828,181.91927206947852,139.80551737782406,1.4402823563502438,0.8557645830834342,0.8009704918032785,1.0176892551460817,1.0096906952758347,1.01234987239554,1.0176892551460817
v2_blend_10_20,Market blend m=0.10 t=0.20,2025,22,2025_22_New_England_Patriots_Seattle_Seahawks,New England Patriots,Rhamondre Stevenson,RB,00-0036875,1.0,0.0,0.0,0.0,0.0,19.07305723376052,56.08418293071291,0.5190215201245016,4.038762781103339,2.6958741563864783,14.577838162495777,0.1831840659262947,0.5045087508683028,1.0,1.0,72.69773005986009,32.350489876637745,38.13601756056828,181.91927206947852,139.80551737782406,1.4402823563502438,0.8557645830834342,0.8009704918032785,1.0176892551460817,1.0096906952758347,1.01234987239554,1.0176892551460817
v2_blend_10_20,Market blend m=0.10 t=0.20,2025,22,2025_22_New_England_Patriots_Seattle_Seahawks,New England Patriots,TreVeyon Henderson,RB,00-0040734,1.0,0.0,0.0,0.0,0.0,10.601752300396264,31.990255967699063,0.1831840659262947,2.5141298312368283,1.777055623685469,10.1234987239554,0.11194581806606899,0.25556510898931484,1.0,1.0,72.69773005986009,32.350489876637745,38.13601756056828,181.91927206947852,139.80551737782406,1.4402823563502438,0.8557645830834342,0.8009704918032785,1.0176892551460817,1.0096906952758347,1.01234987239554,1.0176892551460817
v2_blend_10_20,Market blend m=0.10 t=0.20,2025,22,2025_22_New_England_Patriots_Seattle_Seahawks,New England Patriots,Austin Hooper,TE,00-0032392,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.968490644110954,1.7669587167327108,10.427203685674062,0.1221227106175298,0.11496024193631404,1.0,1.0,72.69773005986009,32.350489876637745,38.13601756056828,181.91927206947852,139.80551737782406,1.4402823563502438,0.8557645830834342,0.8009704918032785,1.0176892551460817,1.0096906952758347,1.01234987239554,1.0176892551460817
v2_blend_10_20,Market blend m=0.10 t=0.20,2025,22,2025_22_New_England_Patriots_Seattle_Seahawks,New England Patriots,CJ Dippre,TE,00-0040566,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,72.69773005986009,32.350489876637745,38.13601756056828,181.91927206947852,139.80551737782406,1.4402823563502438,0.8557645830834342,0.8009704918032785,1.0176892551460817,1.0096906952758347,1.01234987239554,1.0176892551460817
v2_blend_10_20,Market blend m=0.10 t=0.20,2025,22,2025_22_New_England_Patriots_Seattle_Seahawks,New England Patriots,Cole Fotheringham,TE,00-0037506,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.69773005986009,32.350489876637745,38.13601756056828,181.91927206947852,139.80551737782406,1.4402823563502438,0.8557645830834342,0.8009704918032785,1.0176892551460817,1.0096906952758347,1.01234987239554,1.0176892551460817
v2_blend_10_20,Market blend m=0.10 t=0.20,2025,22,2025_22_New_England_Patriots_Seattle_Seahawks,New England Patriots,Hunter Henry,TE,00-0033090,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.745140056119499,3.2512040387881878,20.854407371348124,0.2340685286835988,0.20869241322976329,1.0,1.0,72.69773005986009,32.350489876637745,38.13601756056828,181.91927206947852,139.80551737782406,1.4402823563502438,0.8557645830834342,0.8009704918032785,1.0176892551460817,1.0096906952758347,1.01234987239554,1.0176892551460817
v2_blend_10_20,Market blend m=0.10 t=0.20,2025,22,2025_22_New_England_Patriots_Seattle_Seahawks,New England Patriots,Brandon Smith,WR,00-0036775,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.69773005986009,32.350489876637745,38.13601756056828,181.91927206947852,139.80551737782406,1.4402823563502438,0.8557645830834342,0.8009704918032785,1.0176892551460817,1.0096906952758347,1.01234987239554,1.0176892551460817
v2_blend_10_20,Market blend m=0.10 t=0.20,2025,22,2025_22_New_England_Patriots_Seattle_Seahawks,New England Patriots,DeMario Douglas,WR,00-0038621,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,72.69773005986009,32.350489876637745,38.13601756056828,181.91927206947852,139.80551737782406,1.4402823563502438,0.8557645830834342,0.8009704918032785,1.0176892551460817,1.0096906952758347,1.01234987239554,1.0176892551460817
