scenario_id,scenario_label,season,week,date,game_id,team,player,position,player_id,is_active,pass_attempts,pass_yards,pass_tds,interceptions,rush_attempts,rush_yards,rush_tds,targets,receptions,rec_yards,rec_tds,any_td_prob,team_plays,team_pass_attempts,team_rush_attempts,team_pass_yards,team_rush_yards,team_exp_pass_tds,team_exp_rush_tds,team_exp_int,is_active_pid,is_active_nm,points_scale,vol_scale,yds_scale,td_scale
v2_baseline,Baseline,2025,14,0.0,2025_14_CIN_BUF,Buffalo Bills,Josh Allen,QB,00-0034857,1.0,29.88,204.4,1.67,0.65,12.06,42.1,0.58,0.0,0.0,0.0,0.0,0.44010163343459796,72.0,30.54,39.6,231.8,195.8,1.887811999316085,1.7568914230754935,0.7635989590962213,1.0,1.0,1.0,1.0,1.0,1.0
v2_baseline,Baseline,2025,14,0.0,2025_14_CIN_BUF,Buffalo Bills,James Cook III,RB,,1.0,0.0,0.0,0.0,0.0,17.71,97.3,0.96,3.62,2.2,25.5,0.22,0.6927212613988687,72.0,30.54,39.6,231.8,195.8,1.887811999316085,1.7568914230754935,0.7635989590962213,0.0,0.0,1.0,1.0,1.0,1.0
v2_baseline,Baseline,2025,14,0.0,2025_14_CIN_BUF,Buffalo Bills,Ray Davis,RB,00-0039875,1.0,0.0,0.0,0.0,0.0,9.84,43.5,0.35,2.25,1.48,12.4,0.14,0.3873736058155839,72.0,30.54,39.6,231.8,195.8,1.887811999316085,1.7568914230754935,0.7635989590962213,1.0,1.0,1.0,1.0,1.0,1.0
v2_baseline,Baseline,2025,14,0.0,2025_14_CIN_BUF,Buffalo Bills,Ty Johnson,RB,00-0035537,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,30.54,39.6,231.8,195.8,1.887811999316085,1.7568914230754935,0.7635989590962213,1.0,1.0,1.0,1.0,1.0,1.0
v2_baseline,Baseline,2025,14,0.0,2025_14_CIN_BUF,Buffalo Bills,Dalton Kincaid,TE,00-0038933,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.21,4.18,37.0,0.34,0.28822967723739035,72.0,30.54,39.6,231.8,195.8,1.887811999316085,1.7568914230754935,0.7635989590962213,1.0,1.0,1.0,1.0,1.0,1.0
v2_baseline,Baseline,2025,14,0.0,2025_14_CIN_BUF,Buffalo Bills,Dawson Knox,TE,00-0035689,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.21,2.14,18.8,0.19,0.1730408660566377,72.0,30.54,39.6,231.8,195.8,1.887811999316085,1.7568914230754935,0.7635989590962213,1.0,1.0,1.0,1.0,1.0,1.0
v2_baseline,Baseline,2025,14,0.0,2025_14_CIN_BUF,Buffalo Bills,Jackson Hawes,TE,00-0040194,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,30.54,39.6,231.8,195.8,1.887811999316085,1.7568914230754935,0.7635989590962213,1.0,1.0,1.0,1.0,1.0,1.0
v2_baseline,Baseline,2025,14,0.0,2025_14_CIN_BUF,Buffalo Bills,Brandin Cooks,WR,00-0031236,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,30.54,39.6,231.8,195.8,1.887811999316085,1.7568914230754935,0.7635989590962213,1.0,1.0,1.0,1.0,1.0,1.0
v2_baseline,Baseline,2025,14,0.0,2025_14_CIN_BUF,Buffalo Bills,David White,WR,00-0039562,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,30.54,39.6,231.8,195.8,1.887811999316085,1.7568914230754935,0.7635989590962213,1.0,1.0,1.0,1.0,1.0,1.0
v2_baseline,Baseline,2025,14,0.0,2025_14_CIN_BUF,Buffalo Bills,Gabe Davis,WR,00-0036196,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,1.58,18.2,0.2,0.18126924692201818,72.0,30.54,39.6,231.8,195.8,1.887811999316085,1.7568914230754935,0.7635989590962213,1.0,1.0,1.0,1.0,1.0,1.0
v2_baseline,Baseline,2025,14,0.0,2025_14_CIN_BUF,Buffalo Bills,Joshua Palmer,WR,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.94,2.94,55.0,0.31,0.26655304377571076,72.0,30.54,39.6,231.8,195.8,1.887811999316085,1.7568914230754935,0.7635989590962213,0.0,0.0,1.0,1.0,1.0,1.0
v2_baseline,Baseline,2025,14,0.0,2025_14_CIN_BUF,Buffalo Bills,Keon Coleman,WR,00-0039901,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,30.54,39.6,231.8,195.8,1.887811999316085,1.7568914230754935,0.7635989590962213,1.0,1.0,1.0,1.0,1.0,1.0
v2_baseline,Baseline,2025,14,0.0,2025_14_CIN_BUF,Buffalo Bills,Khalil Shakir,WR,00-0037261,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.56,4.45,38.5,0.38,0.31613859078764417,72.0,30.54,39.6,231.8,195.8,1.887811999316085,1.7568914230754935,0.7635989590962213,1.0,1.0,1.0,1.0,1.0,1.0
v2_baseline,Baseline,2025,14,0.0,2025_14_CIN_BUF,Buffalo Bills,Tyrell Shavers,WR,00-0038679,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,30.54,39.6,231.8,195.8,1.887811999316085,1.7568914230754935,0.7635989590962213,1.0,1.0,1.0,1.0,1.0,1.0
v2_baseline,Baseline,2025,14,0.0,2025_14_CIN_BUF,Cincinnati Bengals,Joe Burrow,QB,00-0036442,1.0,37.98,253.3,2.18,0.85,4.28,16.0,0.14,0.0,0.0,0.0,0.0,0.13064176460119414,72.0,39.85,29.49,302.5,145.8,2.416233780911783,0.8477295316263511,0.996316939773545,1.0,1.0,1.0,1.0,1.0,1.0
v2_baseline,Baseline,2025,14,0.0,2025_14_CIN_BUF,Cincinnati Bengals,Chase Brown,RB,00-0038597,1.0,0.0,0.0,0.0,0.0,16.21,68.2,0.57,4.62,3.09,20.6,0.29,0.5768379176822511,72.0,39.85,29.49,302.5,145.8,2.416233780911783,0.8477295316263511,0.996316939773545,1.0,1.0,1.0,1.0,1.0,1.0
v2_baseline,Baseline,2025,14,0.0,2025_14_CIN_BUF,Cincinnati Bengals,Samaje Perine,RB,00-0033526,1.0,0.0,0.0,0.0,0.0,9.01,39.6,0.2,2.88,1.91,12.1,0.17,0.3092656693626453,72.0,39.85,29.49,302.5,145.8,2.416233780911783,0.8477295316263511,0.996316939773545,1.0,1.0,1.0,1.0,1.0,1.0
v2_baseline,Baseline,2025,14,0.0,2025_14_CIN_BUF,Cincinnati Bengals,Tahj Brooks,RB,00-0040208,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,39.85,29.49,302.5,145.8,2.416233780911783,0.8477295316263511,0.996316939773545,1.0,1.0,1.0,1.0,1.0,1.0
