scenario_id,scenario_label,season,week,game_id,home_team,away_team,pred_margin,pred_total,spread_ref,total_ref,home_points_mean,away_points_mean,total_points_mean,prob_home_win_mc,prob_home_cover_mc,prob_over_total_mc,scenario_wind_open_add_mph,scenario_wx_precip_add_pct,scenario_wx_temp_add_f,scenario_home_inj_starters_add,scenario_away_inj_starters_add,scenario_neutral_site_flag,scenario_sim_market_blend_margin,scenario_sim_market_blend_total
v2_cold_minus15,Temp -15F,2025,6,2025_06_CHI_WAS,Washington Commanders,Chicago Bears,6.187086276410502,48.73840723242164,-5.5,50.5,27.89758791979355,21.374514458543974,49.27210237833753,0.754,0.543,0.4615,0.0,0.0,-15.0,0,0,,,
v2_cold_minus15,Temp -15F,2025,6,2025_06_CIN_GB,Green Bay Packers,Cincinnati Bengals,15.225360007758907,44.458090825986716,-13.5,44.5,29.770665803856247,14.4943669990299,44.26503280288615,0.9515,0.577,0.49,0.0,0.0,-15.0,0,0,,,
v2_cold_minus15,Temp -15F,2025,6,2025_06_CLE_PIT,Pittsburgh Steelers,Cleveland Browns,6.705564800844109,37.99804700804679,-5.5,38.5,22.36787633698252,15.735861699285032,38.10373803626754,0.767,0.5555,0.4855,0.0,0.0,-15.0,0,0,,,
v2_cold_minus15,Temp -15F,2025,6,2025_06_DAL_CAR,Carolina Panthers,Dallas Cowboys,-4.469585429542775,46.2649071629037,3.5,47.5,21.05605372128109,25.58406545181486,46.64011917309595,0.311,0.4585,0.478,0.0,0.0,-15.0,0,0,,,
v2_cold_minus15,Temp -15F,2025,6,2025_06_DEN_NYJ,New York Jets,Denver Broncos,-8.289535043849728,43.025707377682934,6.5,43.5,16.943746535253275,25.434161855916383,42.37790839116967,0.173,0.402,0.463,0.0,0.0,-15.0,0,0,,,
v2_cold_minus15,Temp -15F,2025,6,2025_06_DET_KC,Kansas City Chiefs,Detroit Lions,0.5042097874163354,47.30350310180085,-1.5,48.5,23.682165406796038,23.25609539386766,46.93826080066369,0.5055,0.4465,0.461,0.0,0.0,-15.0,0,0,,,
v2_cold_minus15,Temp -15F,2025,6,2025_06_LAC_MIA,Miami Dolphins,Los Angeles Chargers,-4.9523812288146845,44.2007252464152,5.5,45.5,19.48838364490545,24.861509105773862,44.34989275067932,0.2835,0.5035,0.4535,0.0,0.0,-15.0,0,0,,,
v2_cold_minus15,Temp -15F,2025,6,2025_06_LA_BAL,Baltimore Ravens,Los Angeles Rams,-7.446219287080039,44.52661513322262,5.5,44.5,18.426453077047757,26.059102595242038,44.485555672289806,0.2025,0.4105,0.506,0.0,0.0,-15.0,0,0,,,
v2_cold_minus15,Temp -15F,2025,6,2025_06_NE_NO,New Orleans Saints,New England Patriots,-4.085837085593666,43.63528926283287,3.5,44.5,19.631938691136277,24.025910986984243,43.65784967812052,0.3065,0.453,0.481,0.0,0.0,-15.0,0,0,,,
v2_cold_minus15,Temp -15F,2025,6,2025_06_PHI_NYG,New York Giants,Philadelphia Eagles,-8.051337367115595,42.23111394757614,7.0,42.5,16.9811022059809,24.780124240838173,41.76122644681908,0.195,0.45,0.483,0.0,0.0,-15.0,0,0,,,
v2_cold_minus15,Temp -15F,2025,6,2025_06_SEA_JAX,Jacksonville Jaguars,Seattle Seahawks,1.5197157083136839,45.08393336039455,-1.5,45.5,23.095774610194844,21.516815591718423,44.61259020191328,0.574,0.5075,0.4765,0.0,0.0,-15.0,0,0,,,
v2_cold_minus15,Temp -15F,2025,6,2025_06_SF_TB,Tampa Bay Buccaneers,San Francisco 49ers,2.450536783954344,45.21574212973131,-2.5,46.5,23.93549327334907,21.372708586121078,45.30820185947015,0.6045,0.498,0.4735,0.0,0.0,-15.0,0,0,,,
v2_cold_minus15,Temp -15F,2025,6,2025_06_TEN_LV,Las Vegas Raiders,Tennessee Titans,5.429605800643678,41.89631322042182,-6.5,41.5,23.772199767016428,18.44797235734338,42.22017212435981,0.7395,0.4365,0.5185,0.0,0.0,-15.0,0,0,,,
v2_elo_minus100,Home Elo -100 (diff),2025,6,2025_06_ARI_IND,Indianapolis Colts,Arizona Cardinals,5.26211571153567,45.538672827034446,-3.5,47.5,25.375662492268763,20.24797793290288,45.623640425171644,0.7315,0.577,0.4245,0.0,0.0,0.0,0,0,,,
v2_elo_minus100,Home Elo -100 (diff),2025,6,2025_06_BUF_ATL,Atlanta Falcons,Buffalo Bills,-6.0688152181295765,48.66349501742842,5.5,50.5,21.202812925349193,27.246097518274222,48.44891044362341,0.234,0.476,0.4345,0.0,0.0,0.0,0,0,,,
v2_elo_minus100,Home Elo -100 (diff),2025,6,2025_06_CHI_WAS,Washington Commanders,Chicago Bears,6.107086276410502,48.73840723242164,-5.5,50.5,27.37148938990617,21.37049393613784,48.741983326044014,0.743,0.5355,0.4485,0.0,0.0,0.0,0,0,,,
v2_elo_minus100,Home Elo -100 (diff),2025,6,2025_06_CIN_GB,Green Bay Packers,Cincinnati Bengals,15.145360007758907,44.458090825986716,-13.5,44.5,29.625497783531014,14.357674199658927,43.98317198318994,0.9495,0.5815,0.4845,0.0,0.0,0.0,0,0,,,
v2_elo_minus100,Home Elo -100 (diff),2025,6,2025_06_CLE_PIT,Pittsburgh Steelers,Cleveland Browns,6.625564800844109,37.99804700804679,-5.5,38.5,21.88589199458946,15.68704113477792,37.57293312936738,0.759,0.537,0.463,0.0,0.0,0.0,0,0,,,
v2_elo_minus100,Home Elo -100 (diff),2025,6,2025_06_DAL_CAR,Carolina Panthers,Dallas Cowboys,-4.549585429542775,46.2649071629037,3.5,47.5,20.815762705565565,25.6987985157799,46.51456122134547,0.292,0.4425,0.478,0.0,0.0,0.0,0,0,,,
v2_elo_minus100,Home Elo -100 (diff),2025,6,2025_06_DEN_NYJ,New York Jets,Denver Broncos,-8.369535043849728,43.025707377682934,6.5,43.5,17.151410763780042,25.238221656923525,42.38963242070356,0.192,0.433,0.466,0.0,0.0,0.0,0,0,,,
v2_elo_minus100,Home Elo -100 (diff),2025,6,2025_06_DET_KC,Kansas City Chiefs,Detroit Lions,0.4242097874163353,47.30350310180085,-1.5,48.5,23.6443383405297,23.32991186083921,46.97425020136891,0.5135,0.4505,0.4635,0.0,0.0,0.0,0,0,,,
v2_elo_minus100,Home Elo -100 (diff),2025,6,2025_06_LAC_MIA,Miami Dolphins,Los Angeles Chargers,-5.0323812288146845,44.2007252464152,5.5,45.5,19.62386121564819,24.622730173600974,44.24659138924917,0.2785,0.5265,0.4635,0.0,0.0,0.0,0,0,,,
v2_elo_minus100,Home Elo -100 (diff),2025,6,2025_06_LA_BAL,Baltimore Ravens,Los Angeles Rams,-7.526219287080039,44.52661513322262,5.5,44.5,18.561759002677256,26.09010186380695,44.651860866484206,0.214,0.4195,0.505,0.0,0.0,0.0,0,0,,,
v2_elo_minus100,Home Elo -100 (diff),2025,6,2025_06_NE_NO,New Orleans Saints,New England Patriots,-4.165837085593666,43.63528926283287,3.5,44.5,19.778546152551936,23.78054870938378,43.55909486193571,0.311,0.486,0.464,0.0,0.0,0.0,0,0,,,
v2_elo_minus100,Home Elo -100 (diff),2025,6,2025_06_PHI_NYG,New York Giants,Philadelphia Eagles,-8.131337367115595,42.23111394757614,7.0,42.5,16.946649007937104,25.144114341599533,42.09076334953663,0.171,0.453,0.4925,0.0,0.0,0.0,0,0,,,
v2_elo_minus100,Home Elo -100 (diff),2025,6,2025_06_SEA_JAX,Jacksonville Jaguars,Seattle Seahawks,1.439715708313684,45.08393336039455,-1.5,45.5,23.12492120161037,21.655713856996826,44.780635058607196,0.57,0.5015,0.4805,0.0,0.0,0.0,0,0,,,
v2_elo_minus100,Home Elo -100 (diff),2025,6,2025_06_SF_TB,Tampa Bay Buccaneers,San Francisco 49ers,2.370536783954344,45.21574212973131,-2.5,46.5,23.80627936212815,21.59085164664364,45.397131008771794,0.5975,0.4835,0.4645,0.0,0.0,0.0,0,0,,,
v2_elo_minus100,Home Elo -100 (diff),2025,6,2025_06_TEN_LV,Las Vegas Raiders,Tennessee Titans,5.349605800643678,41.89631322042182,-6.5,41.5,23.60638851822636,18.20024419838959,41.80663271661595,0.742,0.4545,0.507,0.0,0.0,0.0,0,0,,,
v2_elo_plus100,Home Elo +100 (diff),2025,6,2025_06_ARI_IND,Indianapolis Colts,Arizona Cardinals,5.42211571153567,45.538672827034446,-3.5,47.5,25.336503050881042,19.870787347705242,45.20729039858629,0.749,0.5935,0.43,0.0,0.0,0.0,0,0,,,
v2_elo_plus100,Home Elo +100 (diff),2025,6,2025_06_BUF_ATL,Atlanta Falcons,Buffalo Bills,-5.908815218129576,48.66349501742842,5.5,50.5,21.173768868138286,27.137219750592365,48.310988618730654,0.2295,0.481,0.4305,0.0,0.0,0.0,0,0,,,
v2_elo_plus100,Home Elo +100 (diff),2025,6,2025_06_CHI_WAS,Washington Commanders,Chicago Bears,6.267086276410502,48.73840723242164,-5.5,50.5,27.3672757451606,21.1882000917087,48.5554758368693,0.757,0.5315,0.446,0.0,0.0,0.0,0,0,,,
v2_elo_plus100,Home Elo +100 (diff),2025,6,2025_06_CIN_GB,Green Bay Packers,Cincinnati Bengals,15.305360007758907,44.458090825986716,-13.5,44.5,29.8495254762585,14.514562708454337,44.364088184712834,0.9585,0.5835,0.5095,0.0,0.0,0.0,0,0,,,
v2_elo_plus100,Home Elo +100 (diff),2025,6,2025_06_CLE_PIT,Pittsburgh Steelers,Cleveland Browns,6.785564800844108,37.99804700804679,-5.5,38.5,22.38301391747399,15.453500410986079,37.83651432846007,0.7745,0.5625,0.4825,0.0,0.0,0.0,0,0,,,
v2_elo_plus100,Home Elo +100 (diff),2025,6,2025_06_DAL_CAR,Carolina Panthers,Dallas Cowboys,-4.389585429542775,46.2649071629037,3.5,47.5,20.853849712482987,25.392470331334135,46.24632004381712,0.3105,0.4525,0.46,0.0,0.0,0.0,0,0,,,
v2_elo_plus100,Home Elo +100 (diff),2025,6,2025_06_DEN_NYJ,New York Jets,Denver Broncos,-8.209535043849728,43.025707377682934,6.5,43.5,17.483722328382274,25.583927462170255,43.06764979055253,0.189,0.431,0.4935,0.0,0.0,0.0,0,0,,,
v2_elo_plus100,Home Elo +100 (diff),2025,6,2025_06_DET_KC,Kansas City Chiefs,Detroit Lions,0.5842097874163352,47.30350310180085,-1.5,48.5,23.962973875916774,23.283018333853725,47.2459922097705,0.5205,0.457,0.4565,0.0,0.0,0.0,0,0,,,
v2_elo_plus100,Home Elo +100 (diff),2025,6,2025_06_LAC_MIA,Miami Dolphins,Los Angeles Chargers,-4.872381228814684,44.2007252464152,5.5,45.5,19.640774518215345,24.63961948126837,44.280393999483714,0.285,0.5295,0.467,0.0,0.0,0.0,0,0,,,
v2_elo_plus100,Home Elo +100 (diff),2025,6,2025_06_LA_BAL,Baltimore Ravens,Los Angeles Rams,-7.366219287080039,44.52661513322262,5.5,44.5,18.43174924769505,26.06652976206083,44.498279009755876,0.207,0.4145,0.4895,0.0,0.0,0.0,0,0,,,
v2_elo_plus100,Home Elo +100 (diff),2025,6,2025_06_NE_NO,New Orleans Saints,New England Patriots,-4.005837085593666,43.63528926283287,3.5,44.5,19.56783908590878,23.680113983460785,43.247953069369565,0.319,0.4555,0.452,0.0,0.0,0.0,0,0,,,
v2_elo_plus100,Home Elo +100 (diff),2025,6,2025_06_PHI_NYG,New York Giants,Philadelphia Eagles,-7.971337367115595,42.23111394757614,7.0,42.5,17.079175780291227,24.97230161137864,42.05147739166986,0.1925,0.452,0.4845,0.0,0.0,0.0,0,0,,,
v2_elo_plus100,Home Elo +100 (diff),2025,6,2025_06_SEA_JAX,Jacksonville Jaguars,Seattle Seahawks,1.599715708313684,45.08393336039455,-1.5,45.5,23.281506568914974,21.68964318187257,44.971149750787546,0.566,0.499,0.476,0.0,0.0,0.0,0,0,,,
v2_elo_plus100,Home Elo +100 (diff),2025,6,2025_06_SF_TB,Tampa Bay Buccaneers,San Francisco 49ers,2.5305367839543442,45.21574212973131,-2.5,46.5,23.614819006588892,21.06566273380983,44.68048174039871,0.615,0.4965,0.44,0.0,0.0,0.0,0,0,,,
v2_elo_plus100,Home Elo +100 (diff),2025,6,2025_06_TEN_LV,Las Vegas Raiders,Tennessee Titans,5.509605800643678,41.89631322042182,-6.5,41.5,23.65950333840876,17.927592718025494,41.587096056434255,0.748,0.4665,0.501,0.0,0.0,0.0,0,0,,,
v2_inj_away_plus1,Away starters out +1,2025,6,2025_06_ARI_IND,Indianapolis Colts,Arizona Cardinals,5.34211571153567,45.13867282703444,-3.5,47.5,25.461224785398933,20.107107840790142,45.568332626189076,0.74,0.582,0.4455,0.0,0.0,0.0,0,1,,,
v2_inj_away_plus1,Away starters out +1,2025,6,2025_06_BUF_ATL,Atlanta Falcons,Buffalo Bills,-5.988815218129576,48.26349501742842,5.5,50.5,21.234476300095075,27.15431342264942,48.388789722744484,0.2345,0.485,0.434,0.0,0.0,0.0,0,1,,,
v2_inj_away_plus1,Away starters out +1,2025,6,2025_06_CHI_WAS,Washington Commanders,Chicago Bears,6.187086276410502,48.338407232421645,-5.5,50.5,27.381018560439326,21.227641797743424,48.60866035818275,0.7325,0.522,0.442,0.0,0.0,0.0,0,1,,,
v2_inj_away_plus1,Away starters out +1,2025,6,2025_06_CIN_GB,Green Bay Packers,Cincinnati Bengals,15.225360007758907,44.05809082598672,-13.5,44.5,29.714357992756348,14.569113955720033,44.28347194847638,0.946,0.5775,0.494,0.0,0.0,0.0,0,1,,,
v2_inj_away_plus1,Away starters out +1,2025,6,2025_06_CLE_PIT,Pittsburgh Steelers,Cleveland Browns,6.705564800844109,37.59804700804679,-5.5,38.5,22.251896849440943,15.295431683226191,37.54732853266713,0.771,0.5705,0.471,0.0,0.0,0.0,0,1,,,
v2_inj_away_plus1,Away starters out +1,2025,6,2025_06_DAL_CAR,Carolina Panthers,Dallas Cowboys,-4.469585429542775,45.8649071629037,3.5,47.5,20.787568584491133,25.14612158495793,45.93369016944906,0.3135,0.4585,0.459,0.0,0.0,0.0,0,1,,,
v2_inj_away_plus1,Away starters out +1,2025,6,2025_06_DEN_NYJ,New York Jets,Denver Broncos,-8.289535043849728,42.625707377682936,6.5,43.5,17.29291185931333,25.487006846850633,42.77991870616397,0.1735,0.419,0.4805,0.0,0.0,0.0,0,1,,,
v2_inj_away_plus1,Away starters out +1,2025,6,2025_06_DET_KC,Kansas City Chiefs,Detroit Lions,0.5042097874163354,46.90350310180085,-1.5,48.5,23.981869605773195,23.310363984126347,47.292233589899546,0.531,0.471,0.4695,0.0,0.0,0.0,0,1,,,
v2_inj_away_plus1,Away starters out +1,2025,6,2025_06_LAC_MIA,Miami Dolphins,Los Angeles Chargers,-4.9523812288146845,43.8007252464152,5.5,45.5,19.098293119673308,24.27898464083225,43.37727776050555,0.269,0.523,0.4375,0.0,0.0,0.0,0,1,,,
v2_inj_away_plus1,Away starters out +1,2025,6,2025_06_LA_BAL,Baltimore Ravens,Los Angeles Rams,-7.446219287080039,44.12661513322262,5.5,44.5,18.318132430977574,25.946187672769586,44.26432010374716,0.207,0.4155,0.4925,0.0,0.0,0.0,0,1,,,
v2_inj_away_plus1,Away starters out +1,2025,6,2025_06_NE_NO,New Orleans Saints,New England Patriots,-4.085837085593666,43.23528926283287,3.5,44.5,19.801548418422872,23.710890204259012,43.51243862268189,0.3285,0.4905,0.4695,0.0,0.0,0.0,0,1,,,
v2_inj_away_plus1,Away starters out +1,2025,6,2025_06_PHI_NYG,New York Giants,Philadelphia Eagles,-8.051337367115595,41.83111394757614,7.0,42.5,16.733970514414754,24.92567186953008,41.659642383944835,0.172,0.4515,0.468,0.0,0.0,0.0,0,1,,,
v2_inj_away_plus1,Away starters out +1,2025,6,2025_06_SEA_JAX,Jacksonville Jaguars,Seattle Seahawks,1.5197157083136839,44.683933360394555,-1.5,45.5,23.138256294158147,21.282531803108142,44.42078809726629,0.582,0.5145,0.4585,0.0,0.0,0.0,0,1,,,
v2_inj_away_plus1,Away starters out +1,2025,6,2025_06_SF_TB,Tampa Bay Buccaneers,San Francisco 49ers,2.450536783954344,44.81574212973131,-2.5,46.5,23.16324684891703,21.002866299433855,44.16611314835089,0.598,0.484,0.4395,0.0,0.0,0.0,0,1,,,
v2_inj_away_plus1,Away starters out +1,2025,6,2025_06_TEN_LV,Las Vegas Raiders,Tennessee Titans,5.429605800643678,41.49631322042182,-6.5,41.5,23.3959614670766,18.06175530857588,41.45771677565248,0.7505,0.437,0.4955,0.0,0.0,0.0,0,1,,,
v2_inj_away_plus2,Away starters out +2,2025,6,2025_06_ARI_IND,Indianapolis Colts,Arizona Cardinals,5.34211571153567,44.73867282703444,-3.5,47.5,24.925805896483567,19.69713233553637,44.62293823201993,0.732,0.591,0.409,0.0,0.0,0.0,0,2,,,
v2_inj_away_plus2,Away starters out +2,2025,6,2025_06_BUF_ATL,Atlanta Falcons,Buffalo Bills,-5.988815218129576,47.86349501742841,5.5,50.5,21.00776246424992,26.578754545918404,47.58651701016833,0.2585,0.498,0.4105,0.0,0.0,0.0,0,2,,,
v2_inj_away_plus2,Away starters out +2,2025,6,2025_06_CHI_WAS,Washington Commanders,Chicago Bears,6.187086276410502,47.93840723242164,-5.5,50.5,26.83001179215085,20.766561000798124,47.59657279294897,0.7485,0.526,0.4165,0.0,0.0,0.0,0,2,,,
v2_inj_away_plus2,Away starters out +2,2025,6,2025_06_CIN_GB,Green Bay Packers,Cincinnati Bengals,15.225360007758907,43.65809082598671,-13.5,44.5,29.822221729717793,14.444750939292398,44.266972669010194,0.9495,0.583,0.4945,0.0,0.0,0.0,0,2,,,
v2_inj_away_plus2,Away starters out +2,2025,6,2025_06_CLE_PIT,Pittsburgh Steelers,Cleveland Browns,6.705564800844109,37.198047008046785,-5.5,38.5,21.956514192496606,15.117266145398494,37.0737803378951,0.7895,0.561,0.4515,0.0,0.0,0.0,0,2,,,
