scenario_id,scenario_label,season,week,date,game_id,team,player,position,player_id,pass_attempts,pass_yards,pass_tds,interceptions,rush_attempts,rush_yards,rush_tds,targets,receptions,rec_yards,rec_tds,any_td_prob,team_plays,team_pass_attempts,team_rush_attempts,team_pass_yards,team_rush_yards,team_exp_pass_tds,team_exp_rush_tds,team_exp_int,points_scale,vol_scale,yds_scale,td_scale
v2_baseline,Baseline,2025,21,0.0,2025_21_New_England_Patriots_Denver_Broncos,Denver Broncos,Jarrett Stidham,QB,00-0035264,32.65,202.6,1.65,0.82,3.74,13.6,0.09,0.0,0.0,0.0,0.0,0.08606881472877181,72.0,38.41,30.96,253.5,133.1,1.828626268165616,0.7428023032629556,0.960336,1.0,1.0,1.0,1.0
v2_baseline,Baseline,2025,21,0.0,2025_21_New_England_Patriots_Denver_Broncos,Denver Broncos,Jaleel McLaughlin,RB,00-0038794,0.0,0.0,0.0,0.0,9.72,29.9,0.17,3.23,2.15,12.0,0.16,0.28107626656807383,72.0,38.41,30.96,253.5,133.1,1.828626268165616,0.7428023032629556,0.960336,1.0,1.0,1.0,1.0
v2_baseline,Baseline,2025,21,0.0,2025_21_New_England_Patriots_Denver_Broncos,Denver Broncos,RJ Harvey,RB,00-0040730,0.0,0.0,0.0,0.0,17.5,53.5,0.52,5.19,3.43,20.9,0.26,0.5415939886947765,72.0,38.41,30.96,253.5,133.1,1.828626268165616,0.7428023032629556,0.960336,1.0,1.0,1.0,1.0
v2_baseline,Baseline,2025,21,0.0,2025_21_New_England_Patriots_Denver_Broncos,Denver Broncos,Adam Trautman,TE,00-0036422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.87,2.31,16.1,0.18,0.164729788588728,72.0,38.41,30.96,253.5,133.1,1.828626268165616,0.7428023032629556,0.960336,1.0,1.0,1.0,1.0
v2_baseline,Baseline,2025,21,0.0,2025_21_New_England_Patriots_Denver_Broncos,Denver Broncos,Caleb Lohner,TE,00-0040240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,38.41,30.96,253.5,133.1,1.828626268165616,0.7428023032629556,0.960336,1.0,1.0,1.0,1.0
v2_baseline,Baseline,2025,21,0.0,2025_21_New_England_Patriots_Denver_Broncos,Denver Broncos,Evan Engram,TE,00-0033881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.49,4.5,29.0,0.31,0.26655304377571076,72.0,38.41,30.96,253.5,133.1,1.828626268165616,0.7428023032629556,0.960336,1.0,1.0,1.0,1.0
v2_baseline,Baseline,2025,21,0.0,2025_21_New_England_Patriots_Denver_Broncos,Denver Broncos,A.T. Perry,WR,00-0038612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,38.41,30.96,253.5,133.1,1.828626268165616,0.7428023032629556,0.960336,1.0,1.0,1.0,1.0
v2_baseline,Baseline,2025,21,0.0,2025_21_New_England_Patriots_Denver_Broncos,Denver Broncos,Courtland Sutton,WR,00-0034348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.16,3.99,33.7,0.37,0.3092656693626453,72.0,38.41,30.96,253.5,133.1,1.828626268165616,0.7428023032629556,0.960336,1.0,1.0,1.0,1.0
v2_baseline,Baseline,2025,21,0.0,2025_21_New_England_Patriots_Denver_Broncos,Denver Broncos,Elijah Moore,WR,00-0036980,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,38.41,30.96,253.5,133.1,1.828626268165616,0.7428023032629556,0.960336,1.0,1.0,1.0,1.0
v2_baseline,Baseline,2025,21,0.0,2025_21_New_England_Patriots_Denver_Broncos,Denver Broncos,Pat Bryant,WR,00-0040134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,2.21,20.3,0.19,0.1730408660566377,72.0,38.41,30.96,253.5,133.1,1.828626268165616,0.7428023032629556,0.960336,1.0,1.0,1.0,1.0
