scenario_id,position,scenario_label,n_rows,mae_pass_attempts,mae_pass_yards,mae_pass_tds,mae_interceptions,mae_rush_attempts,mae_rush_yards,mae_rush_tds,mae_targets,mae_receptions,mae_rec_yards,mae_rec_tds,brier_any_td,any_td_rate,mae_mean
v2_wind_plus10,QB,Wind +10mph (open),30,9.7034871140269,79.01555430877625,1.1399961585784995,0.7664458232630662,3.6457151391093188,13.045786520547551,0.2768545555683109,0.037037037037037035,0.0,0.0,0.0,0.08388436995465631,0.1,9.784625150627901
v2_wind_plus20,QB,Wind +20mph (open),30,9.739022704096177,78.89590773726091,1.1329115926246673,0.767245617198988,3.62656132334839,12.971731293018305,0.27572195902141405,0.037037037037037035,0.0,0.0,0.0,0.08360379074275352,0.1,9.76783084214599
v2_baseline,RB,Baseline,96,0.013333333333333334,0.0,0.0,0.0,4.697333333333334,19.219999999999995,0.4169333333333333,1.7392,1.2810666666666664,14.361333333333334,0.21280000000000004,0.16931603291075134,0.20833333333333334,3.812909090909091
v2_blend_10_20,RB,Market blend m=0.10 t=0.20,96,0.013333333333333334,0.0,0.0,0.0,4.697395240807326,19.192280807305284,0.41706967004229084,1.744110972221149,1.2855885723621698,14.389213612742617,0.21342368634033435,0.16923295541178776,0.20833333333333334,3.813855990468592
v2_cold_minus15,RB,Temp -15F,96,0.013333333333333334,0.0,0.0,0.0,4.694095292089042,19.144597335729564,0.4157776489584446,1.7352868468541973,1.2817372415683315,14.348731610571967,0.21263924782704868,0.1688970400063292,0.20833333333333334,3.8041998688119936
v2_elo_minus100,RB,Home Elo -100 (diff),96,0.013333333333333334,0.0,0.0,0.0,4.699503226446365,19.228286415142474,0.4169958383844804,1.7388179427151527,1.2810451537348164,14.37443149931711,0.21319402315167765,0.16942456611627021,0.20833333333333334,3.815055221111401
v2_elo_plus100,RB,Home Elo +100 (diff),96,0.013333333333333334,0.0,0.0,0.0,4.682073678486052,19.15825558908259,0.4155562338561861,1.738882342046583,1.2841418445681732,14.378268481429156,0.21295812422059054,0.1687391049194528,0.20833333333333334,3.8075881479111513
v2_inj_away_plus1,RB,Away starters out +1,96,0.013333333333333334,0.0,0.0,0.0,4.6915602832843,19.164089250523364,0.41462678501248723,1.7305521555167471,1.278535259152519,14.333210308587237,0.2116842269033382,0.16834050476618392,0.20833333333333334,3.803417418392121
v2_inj_away_plus2,RB,Away starters out +2,96,0.013333333333333334,0.0,0.0,0.0,4.681786082998168,19.1135855947809,0.41399157004687215,1.7271052092421004,1.276376781502196,14.329254224288428,0.21090292007266914,0.16839146808861782,0.20833333333333334,3.7969396105695155
v2_inj_home_plus1,RB,Home starters out +1,96,0.013333333333333334,0.0,0.0,0.0,4.6898286762852335,19.182915189789462,0.4149628806384777,1.7317520908111381,1.2789125507996617,14.344726472126968,0.21188879851257808,0.1684446898722355,0.20833333333333334,3.8062109083906224
v2_inj_home_plus2,RB,Home starters out +2,96,0.013333333333333334,0.0,0.0,0.0,4.690312118524547,19.19142572782446,0.4145493207329526,1.7262224237068442,1.2755620961829945,14.308862556748268,0.210879295898956,0.1685258130312622,0.20833333333333334,3.8028315339047594
