season,week,date,game_id,team,opponent,is_home,player,position,player_id,pass_attempts,pass_yards,pass_tds,interceptions,rush_attempts,rush_yards,rush_tds,targets,receptions,rec_yards,rec_tds,any_td_prob,team_plays,team_pass_attempts,team_rush_attempts,team_pass_yards,team_rush_yards,team_exp_pass_tds,team_exp_rush_tds,team_exp_int
2025,6,2025-10-13,2025_06_BUF_ATL,Buffalo Bills,Atlanta Falcons,0,Dalton Kincaid,TE,00-0038933,,,,,0.0,0.0,0.0,7.65,5.14,36.0,0.55,0.4208,72.0,42.62,26.47,292.5,118.4,3.381842272177861,1.0587162748320673,1.0653882352941177
2025,6,2025-10-13,2025_06_BUF_ATL,Buffalo Bills,Atlanta Falcons,0,Dawson Knox,TE,00-0035689,,,,,0.0,0.0,0.0,3.96,2.55,18.1,0.3,0.2627,72.0,42.62,26.47,292.5,118.4,3.381842272177861,1.0587162748320673,1.0653882352941177
2025,6,2025-10-13,2025_06_BUF_ATL,Buffalo Bills,Atlanta Falcons,0,Keon Coleman,WR,00-0039901,,,,,0.0,0.0,0.0,10.1,5.17,60.4,0.8,0.5496,72.0,42.62,26.47,292.5,118.4,3.381842272177861,1.0587162748320673,1.0653882352941177
2025,6,2025-10-13,2025_06_BUF_ATL,Buffalo Bills,Atlanta Falcons,0,Khalil Shakir,WR,00-0037261,,,,,0.0,0.0,0.0,7.61,5.63,40.0,0.56,0.4279,72.0,42.62,26.47,292.5,118.4,3.381842272177861,1.0587162748320673,1.0653882352941177
2025,6,2025-10-13,2025_06_BUF_ATL,Buffalo Bills,Atlanta Falcons,0,Joshua Palmer,WR,,,,,,0.0,0.0,0.0,5.07,3.27,48.0,0.4,0.3313,72.0,42.62,26.47,292.5,118.4,3.381842272177861,1.0587162748320673,1.0653882352941177
2025,6,2025-10-13,2025_06_CHI_WAS,Chicago Bears,Washington Commanders,0,Caleb Williams,QB,00-0039918,37.64,257.8,2.05,0.75,6.68,25.9,0.27,0.0,0.0,0.0,0.0,0.2349,64.78,35.28,27.08,267.8,133.9,2.7282862457812844,1.0638145308484053,0.882055264086546
2025,6,2025-10-13,2025_06_CHI_WAS,Chicago Bears,Washington Commanders,0,D'Andre Swift,RB,00-0036275,,,,,13.12,53.9,0.62,4.22,2.83,20.5,0.32,0.6125,64.78,35.28,27.08,267.8,133.9,2.7282862457812844,1.0638145308484053,0.882055264086546
2025,6,2025-10-13,2025_06_CHI_WAS,Chicago Bears,Washington Commanders,0,Kyle Monangai,RB,00-0040236,,,,,7.29,34.0,0.22,2.63,1.66,17.0,0.2,0.3441,64.78,35.28,27.08,267.8,133.9,2.7282862457812844,1.0638145308484053,0.882055264086546
2025,6,2025-10-13,2025_06_CHI_WAS,Chicago Bears,Washington Commanders,0,Cole Kmet,TE,00-0036290,,,,,0.0,0.0,0.0,6.54,4.74,37.9,0.47,0.3771,64.78,35.28,27.08,267.8,133.9,2.7282862457812844,1.0638145308484053,0.882055264086546
2025,6,2025-10-13,2025_06_CHI_WAS,Chicago Bears,Washington Commanders,0,Colston Loveland,TE,00-0040126,,,,,0.0,0.0,0.0,3.38,2.14,29.4,0.25,0.2245,64.78,35.28,27.08,267.8,133.9,2.7282862457812844,1.0638145308484053,0.882055264086546
2025,6,2025-10-13,2025_06_CHI_WAS,Chicago Bears,Washington Commanders,0,DJ Moore,WR,00-0034827,,,,,0.0,0.0,0.0,8.21,5.18,48.7,0.59,0.4435,64.78,35.28,27.08,267.8,133.9,2.7282862457812844,1.0638145308484053,0.882055264086546
2025,6,2025-10-13,2025_06_CHI_WAS,Chicago Bears,Washington Commanders,0,Rome Odunze,WR,00-0039919,,,,,0.0,0.0,0.0,6.18,3.38,39.6,0.47,0.3752,64.78,35.28,27.08,267.8,133.9,2.7282862457812844,1.0638145308484053,0.882055264086546
2025,6,2025-10-13,2025_06_CHI_WAS,Chicago Bears,Washington Commanders,0,Olamide Zaccheaus,WR,00-0035208,,,,,0.0,0.0,0.0,4.12,2.61,24.3,0.3,0.2613,64.78,35.28,27.08,267.8,133.9,2.7282862457812844,1.0638145308484053,0.882055264086546
2025,6,2025-10-13,2025_06_CHI_WAS,Washington Commanders,Chicago Bears,1,Jayden Daniels,QB,00-0039910,38.63,273.8,2.8,0.84,9.93,35.9,0.45,0.0,0.0,0.0,0.0,0.3654,72.0,39.51,29.79,299.8,147.3,3.780765098343116,1.4370328880580172,0.9876413793103448
2025,6,2025-10-13,2025_06_CHI_WAS,Washington Commanders,Chicago Bears,1,Jacory Croskey-Merritt,RB,00-0040242,,,,,12.77,59.1,0.79,4.73,3.07,30.8,0.45,0.7114,72.0,39.51,29.79,299.8,147.3,3.780765098343116,1.4370328880580172,0.9876413793103448
2025,6,2025-10-13,2025_06_CHI_WAS,Washington Commanders,Chicago Bears,1,Chris Rodriguez Jr.,RB,00-0038611,,,,,7.09,30.2,0.3,2.95,2.01,19.3,0.28,0.4422,72.0,39.51,29.79,299.8,147.3,3.780765098343116,1.4370328880580172,0.9876413793103448
2025,6,2025-10-13,2025_06_CHI_WAS,Washington Commanders,Chicago Bears,1,Zach Ertz,TE,00-0030061,,,,,0.0,0.0,0.0,7.73,4.94,40.0,0.72,0.5117,72.0,39.51,29.79,299.8,147.3,3.780765098343116,1.4370328880580172,0.9876413793103448
2025,6,2025-10-13,2025_06_CHI_WAS,Washington Commanders,Chicago Bears,1,John Bates,TE,00-0036628,,,,,0.0,0.0,0.0,3.99,2.53,22.7,0.35,0.296,72.0,39.51,29.79,299.8,147.3,3.780765098343116,1.4370328880580172,0.9876413793103448
2025,6,2025-10-13,2025_06_CHI_WAS,Washington Commanders,Chicago Bears,1,Terry McLaurin,WR,00-0035659,,,,,0.0,0.0,0.0,8.81,5.54,54.7,0.78,0.5421,72.0,39.51,29.79,299.8,147.3,3.780765098343116,1.4370328880580172,0.9876413793103448
2025,6,2025-10-13,2025_06_CHI_WAS,Washington Commanders,Chicago Bears,1,Deebo Samuel,WR,,,,,,0.0,0.0,0.0,6.63,4.26,77.0,0.63,0.47,72.0,39.51,29.79,299.8,147.3,3.780765098343116,1.4370328880580172,0.9876413793103448
2025,6,2025-10-13,2025_06_CHI_WAS,Washington Commanders,Chicago Bears,1,Noah Brown,WR,00-0033591,,,,,0.0,0.0,0.0,4.42,2.43,26.5,0.4,0.3288,72.0,39.51,29.79,299.8,147.3,3.780765098343116,1.4370328880580172,0.9876413793103448
2025,6,2025-10-12,2025_06_CIN_GB,Cincinnati Bengals,Green Bay Packers,0,Jake Browning,QB,00-0035100,40.32,256.7,1.46,0.92,1.28,4.4,0.02,0.0,0.0,0.0,0.0,0.0153,66.34,43.47,19.9,276.1,82.4,1.6783548918063245,0.23976498454376063,1.0866339199832176
2025,6,2025-10-12,2025_06_CIN_GB,Cincinnati Bengals,Green Bay Packers,0,Chase Brown,RB,00-0038597,,,,,11.97,41.1,0.18,5.32,3.82,20.5,0.21,0.3202,66.34,43.47,19.9,276.1,82.4,1.6783548918063245,0.23976498454376063,1.0866339199832176
