player,team,market,line,over_price,under_price,is_ladder,event,home_team,away_team,game_time,book,position,market_key,proj,edge,over_ev,under_ev,note,rank_score
Jaxson Dart,NYG,Rushing Yards,25.0,-350.0,,True,Philadelphia Eagles @ New York Giants,Giants,Eagles,1760055300000,Bovada,QB,rush_yards,3.1,-21.9,-0.9243032593243621,,,21.9
Theo Johnson,NYG,Receiving Yards,15.0,-500.0,,True,Philadelphia Eagles @ New York Giants,Giants,Eagles,1760055300000,Bovada,TE,rec_yards,36.2,21.200000000000003,0.07257444224037934,,,21.200000000000003
Jaxson Dart,NYG,Passing Yards,275.0,875.0,,True,Philadelphia Eagles @ New York Giants,Giants,Eagles,1760055300000,Bovada,QB,pass_yards,253.8,-21.19999999999999,1.6554344181147735,,,21.19999999999999
Wan'dale Robinson,NYG,Receiving Yards,25.0,-500.0,,True,Philadelphia Eagles @ New York Giants,Giants,Eagles,1760055300000,Bovada,WR,rec_yards,45.7,20.700000000000003,0.06598512599859671,,,20.700000000000003
AJ Brown,PHI,Receiving Yards,40.0,-425.0,,True,Philadelphia Eagles @ New York Giants,Giants,Eagles,1760055300000,Bovada,WR,rec_yards,60.1,20.1,0.08887119315446601,,,20.1
AJ Brown,PHI,Receiving Yards,80.0,150.0,,True,Philadelphia Eagles @ New York Giants,Giants,Eagles,1760055300000,Bovada,WR,rec_yards,60.1,-19.9,-0.6977945893972901,,,19.9
DeVonta Smith,PHI,Receiving Yards,25.0,-675.0,,True,Philadelphia Eagles @ New York Giants,Giants,Eagles,1760055300000,Bovada,WR,rec_yards,44.3,19.299999999999997,0.001040457635632902,,,19.299999999999997
Jalen Hurts,PHI,Passing Yards,275.0,575.0,,True,Philadelphia Eagles @ New York Giants,Giants,Eagles,1760055300000,Bovada,QB,pass_yards,293.9,18.899999999999977,3.7614600155440368,,,18.899999999999977
Dallas Goedert,PHI,Receiving Yards,60.0,375.0,,True,Philadelphia Eagles @ New York Giants,Giants,Eagles,1760055300000,Bovada,TE,rec_yards,42.3,-17.700000000000003,-0.2927400721227602,,,17.700000000000003
Dallas Goedert,PHI,Receiving Yards,25.0,-250.0,,True,Philadelphia Eagles @ New York Giants,Giants,Eagles,1760055300000,Bovada,TE,rec_yards,42.3,17.299999999999997,0.18380799953341365,,,17.299999999999997
Jaxson Dart,NYG,Rushing Yards,20.0,-600.0,,True,Philadelphia Eagles @ New York Giants,Giants,Eagles,1760055300000,Bovada,QB,rush_yards,3.1,-16.9,-0.8673633394170451,,,16.9
Jalen Hurts,PHI,Rushing Yards,40.0,-115.0,,True,Philadelphia Eagles @ New York Giants,Giants,Eagles,1760055300000,Bovada,QB,rush_yards,23.3,-16.7,-0.7822654559570473,,,16.7
Theo Johnson,NYG,Receiving Yards,20.0,-325.0,,True,Philadelphia Eagles @ New York Giants,Giants,Eagles,1760055300000,Bovada,TE,rec_yards,36.2,16.200000000000003,0.08497931208062276,,,16.200000000000003
Wan'dale Robinson,NYG,Receiving Yards,30.0,-350.0,,True,Philadelphia Eagles @ New York Giants,Giants,Eagles,1760055300000,Bovada,WR,rec_yards,45.7,15.700000000000003,0.05702982694081013,,,15.700000000000003
DeVonta Smith,PHI,Receiving Yards,60.0,130.0,,True,Philadelphia Eagles @ New York Giants,Giants,Eagles,1760055300000,Bovada,WR,rec_yards,44.3,-15.700000000000003,-0.5909089126385606,,,15.700000000000003
Saquon Barkley,PHI,Rushing Yards,50.0,-800.0,,True,Philadelphia Eagles @ New York Giants,Giants,Eagles,1760055300000,Bovada,RB,rush_yards,35.4,-14.600000000000001,-0.8329293655690896,,,14.600000000000001
Wan'dale Robinson,NYG,Receiving Yards,60.0,160.0,,True,Philadelphia Eagles @ New York Giants,Giants,Eagles,1760055300000,Bovada,WR,rec_yards,45.7,-14.299999999999997,-0.4796761959927536,,,14.299999999999997
DeVonta Smith,PHI,Receiving Yards,30.0,-450.0,,True,Philadelphia Eagles @ New York Giants,Giants,Eagles,1760055300000,Bovada,WR,rec_yards,44.3,14.299999999999997,-0.02237443778118417,,,14.299999999999997
Theo Johnson,NYG,Receiving Yards,50.0,275.0,,True,Philadelphia Eagles @ New York Giants,Giants,Eagles,1760055300000,Bovada,TE,rec_yards,36.2,-13.799999999999997,-0.21826251691844667,,,13.799999999999997
Saquon Barkley,PHI,Receiving Yards,10.0,-250.0,,True,Philadelphia Eagles @ New York Giants,Giants,Eagles,1760055300000,Bovada,RB,rec_yards,23.6,13.600000000000001,0.1034024419832445,,,13.600000000000001
