player,team,line,is_ladder,position,market_key,proj,edge,over_ev,under_ev,note,rank_score
David Martin-Robinson,Tennessee Titans,,,TE,,,,,,unsupported_market,0.0
Gunnar Helm,Tennessee Titans,,,TE,,,,,,unsupported_market,0.0
Chig Okonkwo,Tennessee Titans,,,TE,,,,,,unsupported_market,0.0
Tyjae Spears,Tennessee Titans,,,RB,,,,,,unsupported_market,0.0
Tony Pollard,Tennessee Titans,,,RB,,,,,,unsupported_market,0.0
Geor'Quarius Spivey,Kansas City Chiefs,,,TE,,,,,,unsupported_market,0.0
Noah Gray,Kansas City Chiefs,,,TE,,,,,,unsupported_market,0.0
Travis Kelce,Kansas City Chiefs,,,TE,,,,,,unsupported_market,0.0
Carter Runyon,Las Vegas Raiders,,,TE,,,,,,unsupported_market,0.0
Albert Okwuegbunam,Las Vegas Raiders,,,TE,,,,,,unsupported_market,0.0
Ian Thomas,Las Vegas Raiders,,,TE,,,,,,unsupported_market,0.0
Michael Mayer,Las Vegas Raiders,,,TE,,,,,,unsupported_market,0.0
Raheem Mostert,Las Vegas Raiders,,,RB,,,,,,unsupported_market,0.0
Ashton Jeanty,Las Vegas Raiders,,,RB,,,,,,unsupported_market,0.0
Geno Smith,Las Vegas Raiders,,,QB,,,,,,unsupported_market,0.0
Cam Camper,Jacksonville Jaguars,,,WR,,,,,,unsupported_market,0.0
Austin Trammell,Jacksonville Jaguars,,,WR,,,,,,unsupported_market,0.0
Parker Washington,Jacksonville Jaguars,,,WR,,,,,,unsupported_market,0.0
Travis Hunter,Jacksonville Jaguars,,,WR,,,,,,unsupported_market,0.0
Brian Thomas Jr.,Jacksonville Jaguars,,,WR,,,,,,unsupported_market,0.0
John Copenhaver,Jacksonville Jaguars,,,TE,,,,,,unsupported_market,0.0
Brenton Strange,Jacksonville Jaguars,,,TE,,,,,,unsupported_market,0.0
Johnny Mundt,Jacksonville Jaguars,,,TE,,,,,,unsupported_market,0.0
Hunter Long,Jacksonville Jaguars,,,TE,,,,,,unsupported_market,0.0
Bhayshul Tuten,Jacksonville Jaguars,,,RB,,,,,,unsupported_market,0.0
Trevor Lawrence,Jacksonville Jaguars,,,QB,,,,,,unsupported_market,0.0
Brock Bowers,Las Vegas Raiders,,,TE,,,,,,unsupported_market,0.0
Tre Tucker,Las Vegas Raiders,,,WR,,,,,,unsupported_market,0.0
Kareem Hunt,Kansas City Chiefs,,,RB,,,,,,unsupported_market,0.0
Jack Bech,Las Vegas Raiders,,,WR,,,,,,unsupported_market,0.0
Isiah Pacheco,Kansas City Chiefs,,,RB,,,,,,unsupported_market,0.0
Patrick Mahomes,Kansas City Chiefs,,,QB,,,,,,unsupported_market,0.0
Deon Cain,Buffalo Bills,,,WR,,,,,,unsupported_market,0.0
David White,Buffalo Bills,,,WR,,,,,,unsupported_market,0.0
Curtis Samuel,Buffalo Bills,,,WR,,,,,,unsupported_market,0.0
Elijah Moore,Buffalo Bills,,,WR,,,,,,unsupported_market,0.0
Khalil Shakir,Buffalo Bills,,,WR,,,,,,unsupported_market,0.0
Keon Coleman,Buffalo Bills,,,WR,,,,,,unsupported_market,0.0
Jackson Hawes,Buffalo Bills,,,TE,,,,,,unsupported_market,0.0
Dawson Knox,Buffalo Bills,,,TE,,,,,,unsupported_market,0.0
Dalton Kincaid,Buffalo Bills,,,TE,,,,,,unsupported_market,0.0
Ty Johnson,Buffalo Bills,,,RB,,,,,,unsupported_market,0.0
Josh Allen,Buffalo Bills,,,QB,,,,,,unsupported_market,0.0
Collin Johnson,Las Vegas Raiders,,,WR,,,,,,unsupported_market,0.0
Amari Cooper,Las Vegas Raiders,,,WR,,,,,,unsupported_market,0.0
Alex Bachman,Las Vegas Raiders,,,WR,,,,,,unsupported_market,0.0
Dont'e Thornton Jr.,Las Vegas Raiders,,,WR,,,,,,unsupported_market,0.0
Kenny Yeboah,Detroit Lions,,,TE,,,,,,unsupported_market,0.0
Amon-Ra St. Brown,Detroit Lions,,,WR,,,,,,unsupported_market,0.0
Jameson Williams,Detroit Lions,,,WR,,,,,,unsupported_market,0.0
Theo Johnson,New York Giants,,,TE,,,,,,unsupported_market,0.0
Tyrone Tracy Jr.,New York Giants,,,RB,,,,,,unsupported_market,0.0
Jaxson Dart,New York Giants,,,QB,,,,,,unsupported_market,0.0
Braylon Sanders,Washington Commanders,,,WR,,,,,,unsupported_market,0.0
Chris Moore,Washington Commanders,,,WR,,,,,,unsupported_market,0.0
Terry McLaurin,Washington Commanders,,,WR,,,,,,unsupported_market,0.0
Colson Yankoff,Washington Commanders,,,TE,,,,,,unsupported_market,0.0
Cole Turner,Washington Commanders,,,TE,,,,,,unsupported_market,0.0
Ben Sinnott,Washington Commanders,,,TE,,,,,,unsupported_market,0.0
John Bates,Washington Commanders,,,TE,,,,,,unsupported_market,0.0
Zach Ertz,Washington Commanders,,,TE,,,,,,unsupported_market,0.0
Jeremy McNichols,Washington Commanders,,,RB,,,,,,unsupported_market,0.0
Jacory Croskey-Merritt,Washington Commanders,,,RB,,,,,,unsupported_market,0.0
Marcus Mariota,Washington Commanders,,,QB,,,,,,unsupported_market,0.0
Courtney Jackson,Seattle Seahawks,,,WR,,,,,,unsupported_market,0.0
Cody White,Seattle Seahawks,,,WR,,,,,,unsupported_market,0.0
Tory Horton,Seattle Seahawks,,,WR,,,,,,unsupported_market,0.0
Cooper Kupp,Seattle Seahawks,,,WR,,,,,,unsupported_market,0.0
Devin Singletary,New York Giants,,,RB,,,,,,unsupported_market,0.0
Daniel Bellinger,New York Giants,,,TE,,,,,,unsupported_market,0.0
Eric Saubert,Seattle Seahawks,,,TE,,,,,,unsupported_market,0.0
Chris Manhertz,New York Giants,,,TE,,,,,,unsupported_market,0.0
Brandon Aiyuk,San Francisco 49ers,,,WR,,,,,,unsupported_market,0.0
Demarcus Robinson,San Francisco 49ers,,,WR,,,,,,unsupported_market,0.0
Kendrick Bourne,San Francisco 49ers,,,WR,,,,,,unsupported_market,0.0
Jauan Jennings,San Francisco 49ers,,,WR,,,,,,unsupported_market,0.0
Jake Tonges,San Francisco 49ers,,,TE,,,,,,unsupported_market,0.0
Brayden Willis,San Francisco 49ers,,,TE,,,,,,unsupported_market,0.0
Luke Farrell,San Francisco 49ers,,,TE,,,,,,unsupported_market,0.0
George Kittle,San Francisco 49ers,,,TE,,,,,,unsupported_market,0.0
Christian McCaffrey,San Francisco 49ers,,,RB,,,,,,unsupported_market,0.0
Mac Jones,San Francisco 49ers,,,QB,,,,,,unsupported_market,0.0
Bryce Ford-Wheaton,New York Giants,,,WR,,,,,,unsupported_market,0.0
Beaux Collins,New York Giants,,,WR,,,,,,unsupported_market,0.0
Antwane Wells Jr.,New York Giants,,,WR,,,,,,unsupported_market,0.0
Lil'Jordan Humphrey,New York Giants,,,WR,,,,,,unsupported_market,0.0
Darius Slayton,New York Giants,,,WR,,,,,,unsupported_market,0.0
Wan'Dale Robinson,New York Giants,,,WR,,,,,,unsupported_market,0.0
Jermaine Terry,New York Giants,,,TE,,,,,,unsupported_market,0.0
Jaxon Smith-Njigba,Seattle Seahawks,,,WR,,,,,,unsupported_market,0.0
Elijah Arroyo,Seattle Seahawks,,,TE,,,,,,unsupported_market,0.0
Isaac TeSlaa,Detroit Lions,,,WR,,,,,,unsupported_market,0.0
Colby Parkinson,Los Angeles Rams,,,TE,,,,,,unsupported_market,0.0
Tyler Higbee,Los Angeles Rams,,,TE,,,,,,unsupported_market,0.0
Blake Corum,Los Angeles Rams,,,RB,,,,,,unsupported_market,0.0
Kyren Williams,Los Angeles Rams,,,RB,,,,,,unsupported_market,0.0
Matthew Stafford,Los Angeles Rams,,,QB,,,,,,unsupported_market,0.0
Dontae Fleming,Minnesota Vikings,,,WR,,,,,,unsupported_market,0.0
Adam Thielen,Minnesota Vikings,,,WR,,,,,,unsupported_market,0.0
Jalen Nailor,Minnesota Vikings,,,WR,,,,,,unsupported_market,0.0
Jordan Addison,Minnesota Vikings,,,WR,,,,,,unsupported_market,0.0
Justin Jefferson,Minnesota Vikings,,,WR,,,,,,unsupported_market,0.0
Gavin Bartholomew,Minnesota Vikings,,,TE,,,,,,unsupported_market,0.0
Bryson Nesbit,Minnesota Vikings,,,TE,,,,,,unsupported_market,0.0
Ben Yurosek,Minnesota Vikings,,,TE,,,,,,unsupported_market,0.0
Josh Oliver,Minnesota Vikings,,,TE,,,,,,unsupported_market,0.0
T.J. Hockenson,Minnesota Vikings,,,TE,,,,,,unsupported_market,0.0
Jordan Mason,Minnesota Vikings,,,RB,,,,,,unsupported_market,0.0
Carson Wentz,Minnesota Vikings,,,QB,,,,,,unsupported_market,0.0
Dominic Lovett,Detroit Lions,,,WR,,,,,,unsupported_market,0.0
Davis Allen,Los Angeles Rams,,,TE,,,,,,unsupported_market,0.0
Mark Redman,Los Angeles Rams,,,TE,,,,,,unsupported_market,0.0
AJ Barner,Seattle Seahawks,,,TE,,,,,,unsupported_market,0.0
Davante Adams,Los Angeles Rams,,,WR,,,,,,unsupported_market,0.0
Zach Charbonnet,Seattle Seahawks,,,RB,,,,,,unsupported_market,0.0
Kenneth Walker III,Seattle Seahawks,,,RB,,,,,,unsupported_market,0.0
Sam Darnold,Seattle Seahawks,,,QB,,,,,,unsupported_market,0.0
Bub Means,New Orleans Saints,,,WR,,,,,,unsupported_market,0.0
Brandin Cooks,New Orleans Saints,,,WR,,,,,,unsupported_market,0.0
Rashid Shaheed,New Orleans Saints,,,WR,,,,,,unsupported_market,0.0
Chris Olave,New Orleans Saints,,,WR,,,,,,unsupported_market,0.0
Jack Stoll,New Orleans Saints,,,TE,,,,,,unsupported_market,0.0
Foster Moreau,New Orleans Saints,,,TE,,,,,,unsupported_market,0.0
Juwan Johnson,New Orleans Saints,,,TE,,,,,,unsupported_market,0.0
Devin Neal,New Orleans Saints,,,RB,,,,,,unsupported_market,0.0
Alvin Kamara,New Orleans Saints,,,RB,,,,,,unsupported_market,0.0
Spencer Rattler,New Orleans Saints,,,QB,,,,,,unsupported_market,0.0
Drake Stoops,Los Angeles Rams,,,WR,,,,,,unsupported_market,0.0
Brennan Presley,Los Angeles Rams,,,WR,,,,,,unsupported_market,0.0
Tutu Atwell,Los Angeles Rams,,,WR,,,,,,unsupported_market,0.0
Jordan Whittington,Los Angeles Rams,,,WR,,,,,,unsupported_market,0.0
Ben Skowronek,Pittsburgh Steelers,,,WR,,,,,,unsupported_market,0.0
Roman Wilson,Pittsburgh Steelers,,,WR,,,,,,unsupported_market,0.0
Calvin Austin III,Pittsburgh Steelers,,,WR,,,,,,unsupported_market,0.0
Ollie Gordon II,Miami Dolphins,,,RB,,,,,,unsupported_market,0.0
Tua Tagovailoa,Miami Dolphins,,,QB,,,,,,unsupported_market,0.0
Cornelius Johnson,Baltimore Ravens,,,WR,,,,,,unsupported_market,0.0
Colton Dowell,Baltimore Ravens,,,WR,,,,,,unsupported_market,0.0
Anthony Miller,Baltimore Ravens,,,WR,,,,,,unsupported_market,0.0
DeAndre Hopkins,Baltimore Ravens,,,WR,,,,,,unsupported_market,0.0
Rashod Bateman,Baltimore Ravens,,,WR,,,,,,unsupported_market,0.0
Zay Flowers,Baltimore Ravens,,,WR,,,,,,unsupported_market,0.0
Charlie Kolar,Baltimore Ravens,,,TE,,,,,,unsupported_market,0.0
Baylor Cupp,Baltimore Ravens,,,TE,,,,,,unsupported_market,0.0
Isaiah Likely,Baltimore Ravens,,,TE,,,,,,unsupported_market,0.0
Mark Andrews,Baltimore Ravens,,,TE,,,,,,unsupported_market,0.0
Justice Hill,Baltimore Ravens,,,RB,,,,,,unsupported_market,0.0
Derrick Henry,Baltimore Ravens,,,RB,,,,,,unsupported_market,0.0
Tyler Huntley,Baltimore Ravens,,,QB,,,,,,unsupported_market,0.0
Jeremiah Webb,New England Patriots,,,WR,,,,,,unsupported_market,0.0
Efton Chism III,New England Patriots,,,WR,,,,,,unsupported_market,0.0
DeMario Douglas,New England Patriots,,,WR,,,,,,unsupported_market,0.0
De'Von Achane,Miami Dolphins,,,RB,,,,,,unsupported_market,0.0
Tanner Conner,Miami Dolphins,,,TE,,,,,,unsupported_market,0.0
Kayshon Boutte,New England Patriots,,,WR,,,,,,unsupported_market,0.0
Greg Dulcich,Miami Dolphins,,,TE,,,,,,unsupported_market,0.0
Xavier Legette,Carolina Panthers,,,WR,,,,,,unsupported_market,0.0
Tetairoa McMillan,Carolina Panthers,,,WR,,,,,,unsupported_market,0.0
Dominique Dafney,Carolina Panthers,,,TE,,,,,,unsupported_market,0.0
Bryce Pierre,Carolina Panthers,,,TE,,,,,,unsupported_market,0.0
Tommy Tremble,Carolina Panthers,,,TE,,,,,,unsupported_market,0.0
Ja'Tavion Sanders,Carolina Panthers,,,TE,,,,,,unsupported_market,0.0
Rico Dowdle,Carolina Panthers,,,RB,,,,,,unsupported_market,0.0
Chuba Hubbard,Carolina Panthers,,,RB,,,,,,unsupported_market,0.0
Andy Dalton,Carolina Panthers,,,QB,,,,,,unsupported_market,0.0
Cedrick Wilson Jr.,Miami Dolphins,,,WR,,,,,,unsupported_market,0.0
Andrew Armstrong,Miami Dolphins,,,WR,,,,,,unsupported_market,0.0
A.J. Henning,Miami Dolphins,,,WR,,,,,,unsupported_market,0.0
Nick Westbrook-Ikhine,Miami Dolphins,,,WR,,,,,,unsupported_market,0.0
Malik Washington,Miami Dolphins,,,WR,,,,,,unsupported_market,0.0
Jaylen Waddle,Miami Dolphins,,,WR,,,,,,unsupported_market,0.0
Darren Waller,Miami Dolphins,,,TE,,,,,,unsupported_market,0.0
Chris Myarick,Miami Dolphins,,,TE,,,,,,unsupported_market,0.0
Mack Hollins,New England Patriots,,,WR,,,,,,unsupported_market,0.0
Stefon Diggs,New England Patriots,,,WR,,,,,,unsupported_market,0.0
Ainias Smith,Carolina Panthers,,,WR,,,,,,unsupported_market,0.0
CeeDee Lamb,Dallas Cowboys,,,WR,,,,,,unsupported_market,0.0
Brevyn Spann-Ford,Dallas Cowboys,,,TE,,,,,,unsupported_market,0.0
Luke Schoonmaker,Dallas Cowboys,,,TE,,,,,,unsupported_market,0.0
Jake Ferguson,Dallas Cowboys,,,TE,,,,,,unsupported_market,0.0
Jaydon Blue,Dallas Cowboys,,,RB,,,,,,unsupported_market,0.0
Javonte Williams,Dallas Cowboys,,,RB,,,,,,unsupported_market,0.0
Dak Prescott,Dallas Cowboys,,,QB,,,,,,unsupported_market,0.0
Greg Dortch,Arizona Cardinals,,,WR,,,,,,unsupported_market,0.0
Bryson Green,Arizona Cardinals,,,WR,,,,,,unsupported_market,0.0
Andre Baccellia,Arizona Cardinals,,,WR,,,,,,unsupported_market,0.0
Zay Jones,Arizona Cardinals,,,WR,,,,,,unsupported_market,0.0
Michael Wilson,Arizona Cardinals,,,WR,,,,,,unsupported_market,0.0
Marvin Harrison Jr.,Arizona Cardinals,,,WR,,,,,,unsupported_market,0.0
Nick Muse,Arizona Cardinals,,,TE,,,,,,unsupported_market,0.0
Josiah Deguara,Arizona Cardinals,,,TE,,,,,,unsupported_market,0.0
Elijah Higgins,Arizona Cardinals,,,TE,,,,,,unsupported_market,0.0
Trey McBride,Arizona Cardinals,,,TE,,,,,,unsupported_market,0.0
Michael Carter,Arizona Cardinals,,,RB,,,,,,unsupported_market,0.0
John Stephens Jr.,Dallas Cowboys,,,TE,,,,,,unsupported_market,0.0
George Pickens,Dallas Cowboys,,,WR,,,,,,unsupported_market,0.0
Cole Fotheringham,New England Patriots,,,TE,,,,,,unsupported_market,0.0
Jalen Tolbert,Dallas Cowboys,,,WR,,,,,,unsupported_market,0.0
CJ Dippre,New England Patriots,,,TE,,,,,,unsupported_market,0.0
Austin Hooper,New England Patriots,,,TE,,,,,,unsupported_market,0.0
Hunter Henry,New England Patriots,,,TE,,,,,,unsupported_market,0.0
TreVeyon Henderson,New England Patriots,,,RB,,,,,,unsupported_market,0.0
Rhamondre Stevenson,New England Patriots,,,RB,,,,,,unsupported_market,0.0
Drake Maye,New England Patriots,,,QB,,,,,,unsupported_market,0.0
Chris Blair,Atlanta Falcons,,,WR,,,,,,unsupported_market,0.0
Casey Washington,Atlanta Falcons,,,WR,,,,,,unsupported_market,0.0
KhaDarel Hodge,Atlanta Falcons,,,WR,,,,,,unsupported_market,0.0
Darnell Mooney,Atlanta Falcons,,,WR,,,,,,unsupported_market,0.0
Joshua Simon,Atlanta Falcons,,,TE,,,,,,unsupported_market,0.0
Feleipe Franks,Atlanta Falcons,,,TE,,,,,,unsupported_market,0.0
Charlie Woerner,Atlanta Falcons,,,TE,,,,,,unsupported_market,0.0
Tyler Allgeier,Atlanta Falcons,,,RB,,,,,,unsupported_market,0.0
Bijan Robinson,Atlanta Falcons,,,RB,,,,,,unsupported_market,0.0
Kirk Cousins,Atlanta Falcons,,,QB,,,,,,unsupported_market,0.0
Jalen Brooks,Dallas Cowboys,,,WR,,,,,,unsupported_market,0.0
Jalen Coker,Carolina Panthers,,,WR,,,,,,unsupported_market,0.0
Brycen Tremayne,Carolina Panthers,,,WR,,,,,,unsupported_market,0.0
DK Metcalf,Pittsburgh Steelers,,,WR,,,,,,unsupported_market,0.0
Cornell Powell,Houston Texans,,,WR,,,,,,unsupported_market,0.0
Braxton Berrios,Houston Texans,,,WR,,,,,,unsupported_market,0.0
Jaylin Noel,Houston Texans,,,WR,,,,,,unsupported_market,0.0
Xavier Hutchinson,Houston Texans,,,WR,,,,,,unsupported_market,0.0
Jayden Higgins,Houston Texans,,,WR,,,,,,unsupported_market,0.0
Cade Stover,Houston Texans,,,TE,,,,,,unsupported_market,0.0
Brevin Jordan,Houston Texans,,,TE,,,,,,unsupported_market,0.0
Brenden Bates,Houston Texans,,,TE,,,,,,unsupported_market,0.0
Harrison Bryant,Houston Texans,,,TE,,,,,,unsupported_market,0.0
Dalton Schultz,Houston Texans,,,TE,,,,,,unsupported_market,0.0
Woody Marks,Houston Texans,,,RB,,,,,,unsupported_market,0.0
Nick Chubb,Houston Texans,,,RB,,,,,,unsupported_market,0.0
C.J. Stroud,Houston Texans,,,QB,,,,,,unsupported_market,0.0
Jerjuan Newton,Denver Broncos,,,WR,,,,,,unsupported_market,0.0
A.T. Perry,Denver Broncos,,,WR,,,,,,unsupported_market,0.0
Marvin Mims Jr.,Denver Broncos,,,WR,,,,,,unsupported_market,0.0
Troy Franklin,Denver Broncos,,,WR,,,,,,unsupported_market,0.0
Courtland Sutton,Denver Broncos,,,WR,,,,,,unsupported_market,0.0
Christian Kirk,Houston Texans,,,WR,,,,,,unsupported_market,0.0
Daniel Jones,Indianapolis Colts,,,QB,,,,,,unsupported_market,0.0
Adam Trautman,Denver Broncos,,,TE,,,,,,unsupported_market,0.0
Jonathan Taylor,Indianapolis Colts,,,RB,,,,,,unsupported_market,0.0
Donald Parham,Pittsburgh Steelers,,,TE,,,,,,unsupported_market,0.0
Darnell Washington,Pittsburgh Steelers,,,TE,,,,,,unsupported_market,0.0
Connor Heyward,Pittsburgh Steelers,,,TE,,,,,,unsupported_market,0.0
Pat Freiermuth,Pittsburgh Steelers,,,TE,,,,,,unsupported_market,0.0
Jonnu Smith,Pittsburgh Steelers,,,TE,,,,,,unsupported_market,0.0
Kenneth Gainwell,Pittsburgh Steelers,,,RB,,,,,,unsupported_market,0.0
Jaylen Warren,Pittsburgh Steelers,,,RB,,,,,,unsupported_market,0.0
Aaron Rodgers,Pittsburgh Steelers,,,QB,,,,,,unsupported_market,0.0
Ajou Ajou,Indianapolis Colts,,,WR,,,,,,unsupported_market,0.0
Adonai Mitchell,Indianapolis Colts,,,WR,,,,,,unsupported_market,0.0
Josh Downs,Indianapolis Colts,,,WR,,,,,,unsupported_market,0.0
Alec Pierce,Indianapolis Colts,,,WR,,,,,,unsupported_market,0.0
Maximilian Mang,Indianapolis Colts,,,TE,,,,,,unsupported_market,0.0
Andrew Ogletree,Indianapolis Colts,,,TE,,,,,,unsupported_market,0.0
Mo Alie-Cox,Indianapolis Colts,,,TE,,,,,,unsupported_market,0.0
Tyler Warren,Indianapolis Colts,,,TE,,,,,,unsupported_market,0.0
Ameer Abdullah,Indianapolis Colts,,,RB,,,,,,unsupported_market,0.0
Caleb Lohner,Denver Broncos,,,TE,,,,,,unsupported_market,0.0
Nate Adkins,Denver Broncos,,,TE,,,,,,unsupported_market,0.0
Dan Chisena,Carolina Panthers,,,WR,,,,,,unsupported_market,0.0
Rome Odunze,Chicago Bears,,,WR,,,,,,unsupported_market,0.0
Durham Smythe,Chicago Bears,,,TE,,,,,,unsupported_market,0.0
Colston Loveland,Chicago Bears,,,TE,,,,,,unsupported_market,0.0
Kyle Monangai,Chicago Bears,,,RB,,,,,,unsupported_market,0.0
D'Andre Swift,Chicago Bears,,,RB,,,,,,unsupported_market,0.0
Caleb Williams,Chicago Bears,,,QB,,,,,,unsupported_market,0.0
Isaiah Neyor,Green Bay Packers,,,WR,,,,,,unsupported_market,0.0
Dontayvion Wicks,Green Bay Packers,,,WR,,,,,,unsupported_market,0.0
Christian Watson,Green Bay Packers,,,WR,,,,,,unsupported_market,0.0
Matthew Golden,Green Bay Packers,,,WR,,,,,,unsupported_market,0.0
Romeo Doubs,Green Bay Packers,,,WR,,,,,,unsupported_market,0.0
Johnny Lumpkin,Green Bay Packers,,,TE,,,,,,unsupported_market,0.0
Ben Sims,Green Bay Packers,,,TE,,,,,,unsupported_market,0.0
John FitzPatrick,Green Bay Packers,,,TE,,,,,,unsupported_market,0.0
Tucker Kraft,Green Bay Packers,,,TE,,,,,,unsupported_market,0.0
Emanuel Wilson,Green Bay Packers,,,RB,,,,,,unsupported_market,0.0
Josh Jacobs,Green Bay Packers,,,RB,,,,,,unsupported_market,0.0
Jordan Love,Green Bay Packers,,,QB,,,,,,unsupported_market,0.0
Cole Kmet,Chicago Bears,,,TE,,,,,,unsupported_market,0.0
DJ Moore,Chicago Bears,,,WR,,,,,,unsupported_market,0.0
Evan Engram,Denver Broncos,,,TE,,,,,,unsupported_market,0.0
Olamide Zaccheaus,Chicago Bears,,,WR,,,,,,unsupported_market,0.0
RJ Harvey,Denver Broncos,,,RB,,,,,,unsupported_market,0.0
J.K. Dobbins,Denver Broncos,,,RB,,,,,,unsupported_market,0.0
Bo Nix,Denver Broncos,,,QB,,,,,,unsupported_market,0.0
Cole Burgess,Cincinnati Bengals,,,WR,,,,,,unsupported_market,0.0
Charlie Jones,Cincinnati Bengals,,,WR,,,,,,unsupported_market,0.0
Andrei Iosivas,Cincinnati Bengals,,,WR,,,,,,unsupported_market,0.0
Tee Higgins,Cincinnati Bengals,,,WR,,,,,,unsupported_market,0.0
Ja'Marr Chase,Cincinnati Bengals,,,WR,,,,,,unsupported_market,0.0
Erick All,Cincinnati Bengals,,,TE,,,,,,unsupported_market,0.0
Cam Grandy,Cincinnati Bengals,,,TE,,,,,,unsupported_market,0.0
Drew Sample,Cincinnati Bengals,,,TE,,,,,,unsupported_market,0.0
Noah Fant,Cincinnati Bengals,,,TE,,,,,,unsupported_market,0.0
Samaje Perine,Cincinnati Bengals,,,RB,,,,,,unsupported_market,0.0
Chase Brown,Cincinnati Bengals,,,RB,,,,,,unsupported_market,0.0
Joe Flacco,Cincinnati Bengals,,,QB,,,,,,unsupported_market,0.0
JP Richardson,Chicago Bears,,,WR,,,,,,unsupported_market,0.0
Devin Duvernay,Chicago Bears,,,WR,,,,,,unsupported_market,0.0
Jacob Cowing,San Francisco 49ers,,,WR,,,,,,unsupported_market,0.0
