season,week,date,game_id,team,player,position,player_id_x,is_active,pass_attempts,pass_yards,pass_tds,interceptions,rush_attempts,rush_yards,rush_tds,targets,receptions,rec_yards,rec_tds,any_td_prob,team_plays,team_pass_attempts,team_rush_attempts,team_pass_yards,team_rush_yards,team_exp_pass_tds,team_exp_rush_tds,team_exp_int,is_active_pid,is_active_nm,_name_norm,_name_norm_loose,_alias_init_last,team_norm,player_id_y,pass_attempts_act,pass_yards_act,pass_tds_act,interceptions_act,rush_attempts_act,rush_yards_act,rush_tds_act,targets_act,receptions_act,rec_yards_act,rec_tds_act,player_act,team_act,match_strategy,pass_attempts_err,pass_yards_err,pass_tds_err,interceptions_err,rush_attempts_err,rush_yards_err,rush_tds_err,targets_err,receptions_err,rec_yards_err,rec_tds_err
2025,8,0.0,2025_08_MIA_ATL,Miami Dolphins,Tanner Conner,TE,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.93,1.78,18.5,0.17,0.1592,55.0,32.62,19.91,183.0,72.8,1.9312586352985173,0.5429900165224204,0.8154402322024472,0.0,1.0,tanner conner,tannerconner,tconner,Miami Dolphins,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,6.0,0.0,T.Conner,MIA,team_norm & _alias_init_last,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9300000000000002,-0.21999999999999997,12.5,0.17
2025,8,0.0,2025_08_MIA_ATL,Miami Dolphins,Greg Dulcich,TE,00-0037252,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,32.62,19.91,183.0,72.8,1.9312586352985173,0.5429900165224204,0.8154402322024472,1.0,1.0,greg dulcich,gregdulcich,gdulcich,Miami Dolphins,00-0037252,,,,,,,,,,,,,,,,,,,,,,,,,
2025,8,0.0,2025_08_MIA_ATL,Miami Dolphins,Jaylen Waddle,WR,00-0036613,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.13,5.22,36.0,0.44,0.3554,55.0,32.62,19.91,183.0,72.8,1.9312586352985173,0.5429900165224204,0.8154402322024472,1.0,1.0,jaylen waddle,jaylenwaddle,jwaddle,Miami Dolphins,00-0036613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,99.0,1.0,J.Waddle,MIA,team_norm & _alias_init_last,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1300000000000008,0.21999999999999975,-63.0,-0.56
2025,8,0.0,2025_08_MIA_ATL,Miami Dolphins,Malik Washington,WR,00-0039880,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.12,4.38,31.5,0.35,0.294,55.0,32.62,19.91,183.0,72.8,1.9312586352985173,0.5429900165224204,0.8154402322024472,1.0,1.0,malik washington,malikwashington,mwashington,Miami Dolphins,00-0039880,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,36.0,1.0,M.Washington,MIA,team_norm & _alias_init_last,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12,0.3799999999999999,-4.5,-0.65
2025,8,0.0,2025_08_MIA_ATL,Miami Dolphins,Nick Westbrook-Ikhine,WR,00-0036182,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.08,2.2,18.1,0.23,0.2057,55.0,32.62,19.91,183.0,72.8,1.9312586352985173,0.5429900165224204,0.8154402322024472,1.0,1.0,nick westbrook-ikhine,nickwestbrookikhine,nwestbrookikhine,Miami Dolphins,00-0036182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,18.0,0.0,N.Westbrook-Ikhine,MIA,team_norm & _alias_init_last,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08000000000000007,1.2000000000000002,0.10000000000000142,0.23
2025,8,0.0,2025_08_MIA_ATL,Miami Dolphins,Cedrick Wilson Jr.,WR,00-0034418,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,32.62,19.91,183.0,72.8,1.9312586352985173,0.5429900165224204,0.8154402322024472,1.0,1.0,cedrick wilson jr.,cedrickwilsonjr,cwilson,Miami Dolphins,00-0034418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,C.Wilson,MIA,team_norm & _alias_init_last,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-1.0,-2.0,0.0
2025,8,0.0,2025_08_MIA_ATL,Miami Dolphins,Dee Eskridge,WR,00-0036620,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,32.62,19.91,183.0,72.8,1.9312586352985173,0.5429900165224204,0.8154402322024472,1.0,1.0,dee eskridge,deeeskridge,deskridge,Miami Dolphins,00-0036620,,,,,,,,,,,,,,,,,,,,,,,,,
2025,8,0.0,2025_08_MIN_LAC,Los Angeles Chargers,Justin Herbert,QB,00-0036355,1.0,39.64,246.9,1.99,0.84,3.99,13.5,0.04,0.0,0.0,0.0,0.0,0.0401,61.07,39.67,18.32,275.4,82.9,2.146875526680327,0.1808848902444126,0.9917194901097872,1.0,1.0,justin herbert,justinherbert,jherbert,Los Angeles Chargers,00-0036355,35.0,227.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,J.Herbert,LAC,team_norm & _alias_init_last,4.640000000000001,19.900000000000006,-1.01,-0.16000000000000003,3.99,13.5,0.04,0.0,0.0,0.0,0.0
2025,8,0.0,2025_08_MIN_LAC,Los Angeles Chargers,Kimani Vidal,RB,00-0039391,1.0,0.0,0.0,0.0,0.0,9.21,36.1,0.11,4.41,2.59,19.8,0.24,0.297,61.07,39.67,18.32,275.4,82.9,2.146875526680327,0.1808848902444126,0.9917194901097872,1.0,1.0,kimani vidal,kimanividal,kvidal,Los Angeles Chargers,00-0039391,0.0,0.0,0.0,0.0,24.0,117.0,1.0,2.0,1.0,10.0,0.0,K.Vidal,LAC,team_norm & _alias_init_last,0.0,0.0,0.0,0.0,-14.79,-80.9,-0.89,2.41,1.5899999999999999,9.8,0.24
2025,8,0.0,2025_08_MIN_LAC,Los Angeles Chargers,Hassan Haskins,RB,00-0037617,1.0,0.0,0.0,0.0,0.0,5.12,20.4,0.04,2.75,1.88,12.6,0.14,0.1673,61.07,39.67,18.32,275.4,82.9,2.146875526680327,0.1808848902444126,0.9917194901097872,0.0,0.0,hassan haskins,hassanhaskins,hhaskins,Los Angeles Chargers,00-0037617,,,,,,,,,,,,,,,,,,,,,,,,,
2025,8,0.0,2025_08_MIN_LAC,Los Angeles Chargers,Jaret Patterson,RB,00-0036755,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.07,39.67,18.32,275.4,82.9,2.146875526680327,0.1808848902444126,0.9917194901097872,1.0,1.0,jaret patterson,jaretpatterson,jpatterson,Los Angeles Chargers,00-0036755,0.0,0.0,0.0,0.0,11.0,30.0,0.0,0.0,0.0,0.0,0.0,J.Patterson,LAC,team_norm & _alias_init_last,0.0,0.0,0.0,0.0,-11.0,-30.0,0.0,0.0,0.0,0.0,0.0
2025,8,0.0,2025_08_MIN_LAC,Los Angeles Chargers,Oronde Gadsden II,TE,00-0040189,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.45,4.85,43.0,0.39,0.3228,61.07,39.67,18.32,275.4,82.9,2.146875526680327,0.1808848902444126,0.9917194901097872,1.0,1.0,oronde gadsden ii,orondegadsdenii,ogadsden,Los Angeles Chargers,00-0040189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,77.0,1.0,O.Gadsden,LAC,team_norm & _alias_init_last,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45,-0.15000000000000036,-34.0,-0.61
2025,8,0.0,2025_08_MIN_LAC,Los Angeles Chargers,Tucker Fisk,TE,00-0037654,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.85,2.71,26.6,0.2,0.1825,61.07,39.67,18.32,275.4,82.9,2.146875526680327,0.1808848902444126,0.9917194901097872,1.0,1.0,tucker fisk,tuckerfisk,tfisk,Los Angeles Chargers,00-0037654,,,,,,,,,,,,,,,,,,,,,,,,,
2025,8,0.0,2025_08_MIN_LAC,Los Angeles Chargers,Stevo Klotz,TE,00-0040469,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.07,39.67,18.32,275.4,82.9,2.146875526680327,0.1808848902444126,0.9917194901097872,0.0,0.0,stevo klotz,stevoklotz,sklotz,Los Angeles Chargers,00-0040469,,,,,,,,,,,,,,,,,,,,,,,,,
2025,8,0.0,2025_08_MIN_LAC,Los Angeles Chargers,Tanner McLachlan,TE,00-0039399,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.07,39.67,18.32,275.4,82.9,2.146875526680327,0.1808848902444126,0.9917194901097872,0.0,0.0,tanner mclachlan,tannermclachlan,tmclachlan,Los Angeles Chargers,00-0039399,,,,,,,,,,,,,,,,,,,,,,,,,
2025,8,0.0,2025_08_MIN_LAC,Los Angeles Chargers,Tyler Conklin,TE,00-0034270,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.07,39.67,18.32,275.4,82.9,2.146875526680327,0.1808848902444126,0.9917194901097872,1.0,1.0,tyler conklin,tylerconklin,tconklin,Los Angeles Chargers,00-0034270,,,,,,,,,,,,,,,,,,,,,,,,,
