type,selection,odds,ev_units,ev_pct,prob_selected,prob_home_cover,prob_selected_mc,prob_home_cover_mc,confidence,sort_weight,season,week,game_date,home_team,away_team,result,game_id,prob_over_total,prob_over_total_mc,prob_home_win,prob_home_win_mc
SPREAD,Los Angeles Rams -6.0,-110,0.04003972154529439,4.003972154529439,0.5447827112856304,0.5447827112856304,,,Low,"(1, 0.04003972154529439)",2025,12,2025-11-23,Los Angeles Rams,Tampa Bay Buccaneers,Win,2025_12_TB_LA,,,,
SPREAD,Dallas Cowboys +3.5,-110,0.22414685388809374,22.414685388809374,0.6412197806080491,0.6412197806080491,,,High,"(3, 0.22414685388809374)",2025,12,2025-11-23,Dallas Cowboys,Philadelphia Eagles,Win,2025_12_PHI_DAL,,,,
SPREAD,Houston Texans +2.5,-110,0.11817194136728137,11.817194136728137,0.5857091121447664,0.5857091121447664,,,Medium,"(2, 0.11817194136728137)",2025,12,2025-11-20,Houston Texans,Buffalo Bills,Win,2025_12_BUF_HOU,,,,
TOTAL,Under 46.5,-110,0.07675772645351464,7.675772645351464,0.564015951951841,,,,Medium,"(2, 0.07675772645351464)",2025,13,2025-12-01,New England Patriots,New York Giants,Loss,2025_13_NYG_NE,0.43598404804815905,,,
SPREAD,Carolina Panthers +9.5,-110,0.31297701496469676,31.297701496469678,0.6877498649815078,0.6877498649815078,,,High,"(3, 0.31297701496469676)",2025,13,2025-11-30,Carolina Panthers,Los Angeles Rams,Win,2025_13_LA_CAR,,,,
MONEYLINE,San Francisco 49ers ML,-258,0.3875968992248062,38.759689922480625,1.0,,,,High,"(3, 0.3875968992248062)",2025,13,2025-11-30,Cleveland Browns,San Francisco 49ers,Win,2025_13_SF_CLE,,,0.0,
TOTAL,Under 46.5,-110,0.03951093795613797,3.9510937956137973,0.544505729405596,,,,Low,"(1, 0.03951093795613797)",2025,13,2025-11-30,Indianapolis Colts,Houston Texans,Win,2025_13_HOU_IND,0.45549427059440395,,,
SPREAD,Miami Dolphins -4.5,-110,0.18554159960103234,18.554159960103235,0.6209979807433978,0.6209979807433978,,,High,"(3, 0.18554159960103234)",2025,13,2025-11-30,Miami Dolphins,New Orleans Saints,Loss,2025_13_NO_MIA,,,,
SPREAD,New York Jets +1.5,-110,0.11844176977311094,11.844176977311093,0.5858504508335343,0.5858504508335343,,,Medium,"(2, 0.11844176977311094)",2025,13,2025-11-30,New York Jets,Atlanta Falcons,Win,2025_13_ATL_NYJ,,,,
SPREAD,Tampa Bay Buccaneers -6.5,-110,0.05092901997781063,5.092901997781063,0.5504866295121865,0.5504866295121865,,,Low,"(1, 0.05092901997781063)",2025,13,2025-11-30,Tampa Bay Buccaneers,Arizona Cardinals,Loss,2025_13_ARI_TB,,,,
SPREAD,Tennessee Titans +7.0,-110,0.289044399396576,28.9044399396576,0.6752137330172541,0.6752137330172541,,,High,"(3, 0.289044399396576)",2025,13,2025-11-30,Tennessee Titans,Jacksonville Jaguars,Loss,2025_13_JAX_TEN,,,,
SPREAD,Minnesota Vikings +7.5,-110,0.036039759605677735,3.6039759605677735,0.5426874931267835,0.45731250687321645,,,Low,"(1, 0.036039759605677735)",2025,13,2025-11-30,Seattle Seahawks,Minnesota Vikings,Loss,2025_13_MIN_SEA,,,,
SPREAD,Los Angeles Chargers -8.5,-110,0.07427318069119926,7.427318069119925,0.5627145232191996,0.5627145232191996,,,Low,"(1, 0.07427318069119926)",2025,13,2025-11-30,Los Angeles Chargers,Las Vegas Raiders,Win,2025_13_LV_LAC,,,,
SPREAD,Pittsburgh Steelers +4.5,-110,0.16460574951708673,16.460574951708672,0.6100315830803787,0.6100315830803787,,,High,"(3, 0.16460574951708673)",2025,13,2025-11-30,Pittsburgh Steelers,Buffalo Bills,Loss,2025_13_BUF_PIT,,,,
SPREAD,Washington Commanders +6.5,-110,0.36760369449509633,36.76036944950963,0.7163638399736219,0.7163638399736219,,,High,"(3, 0.36760369449509633)",2025,13,2025-11-30,Washington Commanders,Denver Broncos,Win,2025_13_DEN_WAS,,,,
SPREAD,Chicago Bears +7.5,-110,0.04428272341210704,4.428272341210704,0.5470052360730084,0.45299476392699156,,,Low,"(1, 0.04428272341210704)",2025,13,2025-11-28,Philadelphia Eagles,Chicago Bears,Win,2025_13_CHI_PHI,,,,
SPREAD,Detroit Lions -3.0,-110,0.13832001704043406,13.832001704043407,0.5962628660687987,0.5962628660687987,,,High,"(3, 0.13832001704043406)",2025,13,2025-11-27,Detroit Lions,Green Bay Packers,Loss,2025_13_GB_DET,,,,
SPREAD,Baltimore Ravens -10.0,-110,-0.014150974318941245,-1.4150974318941245,0.5163971086900784,0.5163971086900784,,,,"(0, -0.014150974318941245)",2025,13,2025-11-27,Baltimore Ravens,Cincinnati Bengals,Loss,2025_13_CIN_BAL,,,,
SPREAD,Dallas Cowboys +4.5,-110,0.2514218598848723,25.14218598848723,0.6555066885111236,0.6555066885111236,,,High,"(3, 0.2514218598848723)",2025,13,2025-11-27,Dallas Cowboys,Kansas City Chiefs,Win,2025_13_KC_DAL,,,,
SPREAD,Los Angeles Chargers +2.5,-110,0.19552384899441022,19.552384899441023,0.6262267780446911,0.6262267780446911,,,High,"(3, 0.19552384899441022)",2025,14,2025-12-08,Los Angeles Chargers,Philadelphia Eagles,Win,2025_14_PHI_LAC,,,,
SPREAD,Atlanta Falcons +7.5,-110,0.3403733812680808,34.03733812680808,0.7021003425689947,0.7021003425689947,,,High,"(3, 0.3403733812680808)",2025,14,2025-12-07,Atlanta Falcons,Seattle Seahawks,Loss,2025_14_SEA_ATL,,,,
SPREAD,Baltimore Ravens -7.0,-110,0.13023728278355073,13.023728278355073,0.5920290528866218,0.5920290528866218,,,High,"(3, 0.13023728278355073)",2025,14,2025-12-07,Baltimore Ravens,Pittsburgh Steelers,Loss,2025_14_PIT_BAL,,,,
SPREAD,Buffalo Bills -7.0,-110,0.08720584959834798,8.720584959834799,0.5694887783610394,0.5694887783610394,,,Medium,"(2, 0.08720584959834798)",2025,14,2025-12-07,Buffalo Bills,Cincinnati Bengals,Loss,2025_14_CIN_BUF,,,,
TOTAL,Over 34.5,-110,0.015082305593142442,1.5082305593142442,0.5317097791202174,,,,,"(0, 0.015082305593142442)",2025,14,2025-12-07,Cleveland Browns,Tennessee Titans,Win,2025_14_TEN_CLE,0.5317097791202174,,,
SPREAD,Jacksonville Jaguars +2.5,-110,0.285634038410962,28.563403841096203,0.673427353453361,0.673427353453361,,,High,"(3, 0.285634038410962)",2025,14,2025-12-07,Jacksonville Jaguars,Indianapolis Colts,Win,2025_14_IND_JAX,,,,
SPREAD,Minnesota Vikings -2.5,-110,0.019584412047023825,1.9584412047023825,0.5340680253579648,0.5340680253579648,,,,"(0, 0.019584412047023825)",2025,14,2025-12-07,Minnesota Vikings,Washington Commanders,Win,2025_14_WAS_MIN,,,,
SPREAD,New York Jets +2.5,-110,0.15001048910544956,15.001048910544956,0.6023864466742831,0.6023864466742831,,,High,"(3, 0.15001048910544956)",2025,14,2025-12-07,New York Jets,Miami Dolphins,Loss,2025_14_MIA_NYJ,,,,
SPREAD,Tampa Bay Buccaneers -8.5,-110,0.09862917089880763,9.862917089880764,0.5754724228517564,0.5754724228517564,,,Medium,"(2, 0.09862917089880763)",2025,14,2025-12-07,Tampa Bay Buccaneers,New Orleans Saints,Loss,2025_14_NO_TB,,,,
SPREAD,Las Vegas Raiders +8.5,-110,0.2699687400330285,26.99687400330285,0.6652217209696816,0.6652217209696816,,,High,"(3, 0.2699687400330285)",2025,14,2025-12-07,Las Vegas Raiders,Denver Broncos,Win,2025_14_DEN_LV,,,,
SPREAD,Arizona Cardinals +8.5,-110,0.3358930009893043,33.58930009893043,0.6997534767086832,0.6997534767086832,,,High,"(3, 0.3358930009893043)",2025,14,2025-12-07,Arizona Cardinals,Los Angeles Rams,Loss,2025_14_LA_ARI,,,,
SPREAD,Green Bay Packers -6.5,-110,0.0326386480468045,3.2638648046804497,0.5409059585007071,0.5409059585007071,,,,"(0, 0.0326386480468045)",2025,14,2025-12-07,Green Bay Packers,Chicago Bears,Win,2025_14_CHI_GB,,,,
SPREAD,Kansas City Chiefs -6.0,-110,0.15798612132471768,15.798612132471767,0.6065641587891378,0.6065641587891378,,,High,"(3, 0.15798612132471768)",2025,14,2025-12-07,Kansas City Chiefs,Houston Texans,Loss,2025_14_HOU_KC,,,,
TOTAL,Under 54.5,-110,0.06518876941231988,6.518876941231988,0.5579560220731199,,,,Low,"(1, 0.06518876941231988)",2025,14,2025-12-04,Detroit Lions,Dallas Cowboys,Loss,2025_14_DAL_DET,0.44204397792688005,,,
SPREAD,Pittsburgh Steelers -3.0,-110,0.1258703952927217,12.58703952927217,0.5897416356295209,0.5897416356295209,,,High,"(3, 0.1258703952927217)",2025,15,2025-12-15,Pittsburgh Steelers,Miami Dolphins,Win,2025_15_MIA_PIT,,,,
SPREAD,Chicago Bears -7.0,-110,0.11437364252858484,11.437364252858483,0.5837195270387825,0.5837195270387825,,,Medium,"(2, 0.11437364252858484)",2025,15,2025-12-14,Chicago Bears,Cleveland Browns,Win,2025_15_CLE_CHI,,,,
SPREAD,Cincinnati Bengals +3.0,-110,0.18420151165777598,18.420151165777597,0.6202960299159779,0.6202960299159779,,,High,"(3, 0.18420151165777598)",2025,15,2025-12-14,Cincinnati Bengals,Baltimore Ravens,Loss,2025_15_BAL_CIN,,,,
SPREAD,Houston Texans -6.5,-110,0.004582565048851128,0.4582565048851128,0.5262099150255887,0.5262099150255887,,,,"(0, 0.004582565048851128)",2025,15,2025-12-14,Houston Texans,Arizona Cardinals,Win,2025_15_ARI_HOU,,,,
SPREAD,New York Jets +9.5,-110,-0.011905795428057087,-1.1905795428057087,0.5175731547757796,0.4824268452242204,,,,"(0, -0.011905795428057087)",2025,15,2025-12-14,Jacksonville Jaguars,New York Jets,Loss,2025_15_NYJ_JAX,,,,
SPREAD,Kansas City Chiefs -4.5,-110,0.11197634120390543,11.197634120390543,0.5824637977734742,0.5824637977734742,,,Medium,"(2, 0.11197634120390543)",2025,15,2025-12-14,Kansas City Chiefs,Los Angeles Chargers,Loss,2025_15_LAC_KC,,,,
SPREAD,New England Patriots +1.5,-110,0.06851567342995546,6.851567342995546,0.5596986860823576,0.5596986860823576,,,Low,"(1, 0.06851567342995546)",2025,15,2025-12-14,New England Patriots,Buffalo Bills,Loss,2025_15_BUF_NE,,,,
SPREAD,New York Giants +1.5,-110,0.06851567342994513,6.851567342994514,0.5596986860823522,0.5596986860823522,,,Low,"(1, 0.06851567342994513)",2025,15,2025-12-14,New York Giants,Washington Commanders,Loss,2025_15_WAS_NYG,,,,
SPREAD,Denver Broncos +1.5,-110,0.18416706661949422,18.416706661949423,0.6202779872768779,0.6202779872768779,,,High,"(3, 0.18416706661949422)",2025,15,2025-12-14,Denver Broncos,Green Bay Packers,Win,2025_15_GB_DEN,,,,
TOTAL,Under 50.5,-110,-0.007184907372391358,-0.7184907372391358,0.5200460009001759,,,,,"(0, -0.007184907372391358)",2025,15,2025-12-14,Los Angeles Rams,Detroit Lions,Loss,2025_15_DET_LA,0.4799539990998241,,,
SPREAD,New Orleans Saints +2.5,-110,0.15001048910544956,15.001048910544956,0.6023864466742831,0.6023864466742831,,,High,"(3, 0.15001048910544956)",2025,15,2025-12-14,New Orleans Saints,Carolina Panthers,Win,2025_15_CAR_NO,,,,
SPREAD,Seattle Seahawks -3.5,-110,0.12790954731197202,12.790954731197202,0.5908097628776996,0.5908097628776996,,,High,"(3, 0.12790954731197202)",2025,15,2025-12-14,Seattle Seahawks,Indianapolis Colts,Loss,2025_15_IND_SEA,,,,
TOTAL,Under 44.5,-110,0.005152292662277624,0.5152292662277624,0.5265083437754787,,,,,"(0, 0.005152292662277624)",2025,15,2025-12-14,San Francisco 49ers,Tennessee Titans,Loss,2025_15_TEN_SF,0.4734916562245213,,,
SPREAD,Las Vegas Raiders +12.5,-110,0.20261347475145441,20.261347475145442,0.6299403915364761,0.37005960846352387,,,High,"(3, 0.20261347475145441)",2025,15,2025-12-14,Philadelphia Eagles,Las Vegas Raiders,Loss,2025_15_LV_PHI,,,,
SPREAD,Minnesota Vikings +7.5,-110,0.04428272341210704,4.428272341210704,0.5470052360730084,0.45299476392699156,,,Low,"(1, 0.04428272341210704)",2025,15,2025-12-14,Dallas Cowboys,Minnesota Vikings,Win,2025_15_MIN_DAL,,,,
SPREAD,Tampa Bay Buccaneers -5.5,-110,0.1355730029795319,13.55730029795319,0.5948239539416595,0.5948239539416595,,,High,"(3, 0.1355730029795319)",2025,15,2025-12-11,Tampa Bay Buccaneers,Atlanta Falcons,Loss,2025_15_ATL_TB,,,,
SPREAD,Indianapolis Colts +6.0,-110,0.24382490762096165,24.382490762096165,0.6515273325633608,0.6515273325633608,,,High,"(3, 0.24382490762096165)",2025,16,2025-12-22,Indianapolis Colts,San Francisco 49ers,Loss,2025_16_SF_IND,,,,
SPREAD,Carolina Panthers +1.5,-110,0.10336619436092498,10.336619436092498,0.5779537208557226,0.5779537208557226,,,Medium,"(2, 0.10336619436092498)",2025,16,2025-12-21,Carolina Panthers,Tampa Bay Buccaneers,Win,2025_16_TB_CAR,,,,
MONEYLINE,Buffalo Bills ML,-410,0.24390243902439024,24.390243902439025,1.0,,,,High,"(3, 0.24390243902439024)",2025,16,2025-12-21,Cleveland Browns,Buffalo Bills,Win,2025_16_BUF_CLE,,,0.0,
SPREAD,Miami Dolphins +1.5,-110,0.1507410627964213,15.07410627964213,0.6027691281314588,0.6027691281314588,,,High,"(3, 0.1507410627964213)",2025,16,2025-12-21,Miami Dolphins,Cincinnati Bengals,Loss,2025_16_CIN_MIA,,,,
SPREAD,New Orleans Saints -3.5,-110,0.010305536119628866,1.0305536119628866,0.5292076617769484,0.5292076617769484,,,,"(0, 0.010305536119628866)",2025,16,2025-12-21,New Orleans Saints,New York Jets,Win,2025_16_NYJ_NO,,,,
SPREAD,New York Giants +1.5,-110,0.10556729689399691,10.556729689399692,0.5791066793254269,0.5791066793254269,,,Medium,"(2, 0.10556729689399691)",2025,16,2025-12-21,New York Giants,Minnesota Vikings,Loss,2025_16_MIN_NYG,,,,
MONEYLINE,Kansas City Chiefs ML,-325,0.3076923076923077,30.76923076923077,1.0,,,,High,"(3, 0.3076923076923077)",2025,16,2025-12-21,Tennessee Titans,Kansas City Chiefs,Loss,2025_16_KC_TEN,,,0.0,
SPREAD,Arizona Cardinals -1.5,-110,0.19257261974314088,19.257261974314087,0.6246808960559309,0.6246808960559309,,,High,"(3, 0.19257261974314088)",2025,16,2025-12-21,Arizona Cardinals,Atlanta Falcons,Loss,2025_16_ATL_ARI,,,,
SPREAD,Denver Broncos -2.5,-110,0.20969270456997502,20.969270456997503,0.6336485595366536,0.6336485595366536,,,High,"(3, 0.20969270456997502)",2025,16,2025-12-21,Denver Broncos,Jacksonville Jaguars,Loss,2025_16_JAX_DEN,,,,
SPREAD,Detroit Lions -6.5,-110,0.12738845394452636,12.738845394452635,0.5905368092090376,0.5905368092090376,,,High,"(3, 0.12738845394452636)",2025,16,2025-12-21,Detroit Lions,Pittsburgh Steelers,Loss,2025_16_PIT_DET,,,,
SPREAD,Las Vegas Raiders +12.5,-110,0.08521051961365078,8.521051961365078,0.5684436055119123,0.4315563944880877,,,Medium,"(2, 0.08521051961365078)",2025,16,2025-12-21,Houston Texans,Las Vegas Raiders,Win,2025_16_LV_HOU,,,,
SPREAD,Baltimore Ravens -2.5,-110,0.26094831007289776,26.094831007289777,0.6604967338477084,0.6604967338477084,,,High,"(3, 0.26094831007289776)",2025,16,2025-12-21,Baltimore Ravens,New England Patriots,Loss,2025_16_NE_BAL,,,,
SPREAD,Dallas Cowboys -1.5,-110,0.06964442724840503,6.964442724840502,0.5602899380824978,0.5602899380824978,,,Low,"(1, 0.06964442724840503)",2025,16,2025-12-21,Dallas Cowboys,Los Angeles Chargers,Loss,2025_16_LAC_DAL,,,,
SPREAD,Chicago Bears +3.0,-110,0.16792104694953858,16.792104694953856,0.6117681674497583,0.6117681674497583,,,High,"(3, 0.16792104694953858)",2025,16,2025-12-20,Chicago Bears,Green Bay Packers,Win,2025_16_GB_CHI,,,,
SPREAD,Washington Commanders +5.5,-110,0.2772857608495355,27.72857608495355,0.6690544461592804,0.6690544461592804,,,High,"(3, 0.2772857608495355)",2025,16,2025-12-20,Washington Commanders,Philadelphia Eagles,Loss,2025_16_PHI_WAS,,,,
TOTAL,Under 47.5,-110,0.057495889301777736,5.749588930177774,0.5539264182056931,,,,Low,"(1, 0.057495889301777736)",2025,16,2025-12-18,Seattle Seahawks,Los Angeles Rams,Loss,2025_16_LA_SEA,0.44607358179430684,,,
SPREAD,Atlanta Falcons +8.5,-110,0.3067854357286639,30.67854357286639,0.6845066568102525,0.6845066568102525,,,High,"(3, 0.3067854357286639)",2025,17,2025-12-29,Atlanta Falcons,Los Angeles Rams,Win,2025_17_LA_ATL,,,,
SPREAD,Carolina Panthers +7.5,-110,0.289480057160607,28.9480057160607,0.675441934703175,0.675441934703175,,,High,"(3, 0.289480057160607)",2025,17,2025-12-28,Carolina Panthers,Seattle Seahawks,Loss,2025_17_SEA_CAR,,,,
SPREAD,Cincinnati Bengals -5.5,-110,0.08424511506729171,8.424511506729171,0.5679379174162004,0.5679379174162004,,,Medium,"(2, 0.08424511506729171)",2025,17,2025-12-28,Cincinnati Bengals,Arizona Cardinals,Win,2025_17_ARI_CIN,,,,
SPREAD,Cleveland Browns +3.5,-110,0.16846267955234817,16.84626795523482,0.6120518797655157,0.6120518797655157,,,High,"(3, 0.16846267955234817)",2025,17,2025-12-28,Cleveland Browns,Pittsburgh Steelers,Win,2025_17_PIT_CLE,,,,
SPREAD,Indianapolis Colts +5.5,-110,0.2951539731467403,29.51539731467403,0.6784139859340068,0.6784139859340068,,,High,"(3, 0.2951539731467403)",2025,17,2025-12-28,Indianapolis Colts,Jacksonville Jaguars,Loss,2025_17_JAX_IND,,,,
SPREAD,Miami Dolphins +3.0,-110,0.19597891228720388,19.59789122872039,0.6264651445313925,0.6264651445313925,,,High,"(3, 0.19597891228720388)",2025,17,2025-12-28,Miami Dolphins,Tampa Bay Buccaneers,Win,2025_17_TB_MIA,,,,
SPREAD,New York Jets +9.5,-110,0.3353877108868568,33.53877108868568,0.6994888009407345,0.6994888009407345,,,High,"(3, 0.3353877108868568)",2025,17,2025-12-28,New York Jets,New England Patriots,Loss,2025_17_NE_NYJ,,,,
SPREAD,Tennessee Titans +1.5,-110,0.2501070152783159,25.010701527831593,0.6548179603838797,0.6548179603838797,,,High,"(3, 0.2501070152783159)",2025,17,2025-12-28,Tennessee Titans,New Orleans Saints,Loss,2025_17_NO_TEN,,,,
SPREAD,Las Vegas Raiders +3.0,-110,0.2756002799092071,27.56002799092071,0.668171575190537,0.668171575190537,,,High,"(3, 0.2756002799092071)",2025,17,2025-12-28,Las Vegas Raiders,New York Giants,Loss,2025_17_NYG_LV,,,,
SPREAD,San Francisco 49ers -3.0,-110,0.14713004214440872,14.713004214440872,0.6008776411232617,0.6008776411232617,,,High,"(3, 0.14713004214440872)",2025,17,2025-12-28,San Francisco 49ers,Chicago Bears,Win,2025_17_CHI_SF,,,,
SPREAD,Buffalo Bills -3.0,-110,0.01905417227429612,1.9054172274296122,0.5337902807151075,0.5337902807151075,,,,"(0, 0.01905417227429612)",2025,17,2025-12-28,Buffalo Bills,Philadelphia Eagles,Loss,2025_17_PHI_BUF,,,,
SPREAD,Los Angeles Chargers +1.5,-110,0.25817802255552313,25.817802255552312,0.6590456308624169,0.6590456308624169,,,High,"(3, 0.25817802255552313)",2025,17,2025-12-27,Los Angeles Chargers,Houston Texans,Loss,2025_17_HOU_LAC,,,,
SPREAD,Green Bay Packers -2.5,-110,0.0010759434033957849,0.10759434033957849,0.5243731132113025,0.5243731132113025,,,,"(0, 0.0010759434033957849)",2025,17,2025-12-27,Green Bay Packers,Baltimore Ravens,Loss,2025_17_BAL_GB,,,,
SPREAD,Minnesota Vikings +3.5,-110,0.17998683893700274,17.998683893700274,0.6180883442050966,0.6180883442050966,,,High,"(3, 0.17998683893700274)",2025,17,2025-12-25,Minnesota Vikings,Detroit Lions,Win,2025_17_DET_MIN,,,,
SPREAD,Kansas City Chiefs +5.5,-110,0.3719722530221946,37.19722530221946,0.7186521325354353,0.7186521325354353,,,High,"(3, 0.3719722530221946)",2025,17,2025-12-25,Kansas City Chiefs,Denver Broncos,Loss,2025_17_DEN_KC,,,,
SPREAD,Washington Commanders +3.0,-110,0.20999898523005722,20.999898523005722,0.6338089922633633,0.6338089922633633,,,High,"(3, 0.20999898523005722)",2025,17,2025-12-25,Washington Commanders,Dallas Cowboys,Loss,2025_17_DAL_WAS,,,,
