type,selection,odds,ev_units,ev_pct,confidence,sort_weight,season,week,game_date,home_team,away_team,result,game_id
MONEYLINE,New Orleans Saints ML,110,0.5433587664044529,54.33587664044529,High,"(3, 0.5433587664044529)",2025,12,2025-11-23,New Orleans Saints,Atlanta Falcons,Loss,2025_12_ATL_NO
MONEYLINE,Los Angeles Rams ML,-142,0.02253521126760555,2.253521126760555,,"(0, 0.02253521126760555)",2025,12,2025-11-23,Los Angeles Rams,Tampa Bay Buccaneers,Win,2025_12_TB_LA
SPREAD,Dallas Cowboys +3.5,-110,0.1098509821684468,10.98509821684468,Medium,"(2, 0.1098509821684468)",2025,12,2025-11-23,Dallas Cowboys,Philadelphia Eagles,Win,2025_12_PHI_DAL
MONEYLINE,Houston Texans ML,160,1.3707128471362537,137.07128471362537,High,"(3, 1.3707128471362537)",2025,12,2025-11-20,Houston Texans,Buffalo Bills,Win,2025_12_BUF_HOU
MONEYLINE,New England Patriots ML,-166,0.6024096385542168,60.24096385542168,High,"(3, 0.6024096385542168)",2025,13,2025-12-01,New England Patriots,New York Giants,Win,2025_13_NYG_NE
MONEYLINE,Carolina Panthers ML,154,1.54,154.0,High,"(3, 1.54)",2025,13,2025-11-30,Carolina Panthers,Los Angeles Rams,Win,2025_13_LA_CAR
SPREAD,Cleveland Browns +6.5,-110,0.02612758713504787,2.612758713504787,,"(0, 0.02612758713504787)",2025,13,2025-11-30,Cleveland Browns,San Francisco 49ers,Loss,2025_13_SF_CLE
MONEYLINE,Indianapolis Colts ML,105,0.6117005059977184,61.17005059977184,High,"(3, 0.6117005059977184)",2025,13,2025-11-30,Indianapolis Colts,Houston Texans,Loss,2025_13_HOU_IND
MONEYLINE,Miami Dolphins ML,-258,0.3875968992248062,38.759689922480625,High,"(3, 0.3875968992248062)",2025,13,2025-11-30,Miami Dolphins,New Orleans Saints,Win,2025_13_NO_MIA
MONEYLINE,New York Jets ML,105,0.5066121291091086,50.661212910910855,High,"(3, 0.5066121291091086)",2025,13,2025-11-30,New York Jets,Atlanta Falcons,Win,2025_13_ATL_NYJ
MONEYLINE,Tampa Bay Buccaneers ML,-185,0.5405405405405406,54.054054054054056,High,"(3, 0.5405405405405406)",2025,13,2025-11-30,Tampa Bay Buccaneers,Arizona Cardinals,Win,2025_13_ARI_TB
MONEYLINE,Tennessee Titans ML,105,0.9218358290869123,92.18358290869124,High,"(3, 0.9218358290869123)",2025,13,2025-11-30,Tennessee Titans,Jacksonville Jaguars,Loss,2025_13_JAX_TEN
MONEYLINE,Seattle Seahawks ML,-125,0.3891544660719548,38.91544660719548,High,"(3, 0.3891544660719548)",2025,13,2025-11-30,Seattle Seahawks,Minnesota Vikings,Win,2025_13_MIN_SEA
MONEYLINE,Los Angeles Chargers ML,-278,0.3597122302158273,35.97122302158273,High,"(3, 0.3597122302158273)",2025,13,2025-11-30,Los Angeles Chargers,Las Vegas Raiders,Win,2025_13_LV_LAC
MONEYLINE,Pittsburgh Steelers ML,180,1.5530753738390422,155.30753738390422,High,"(3, 1.5530753738390422)",2025,13,2025-11-30,Pittsburgh Steelers,Buffalo Bills,Loss,2025_13_BUF_PIT
MONEYLINE,Washington Commanders ML,-135,0.5072704782043802,50.72704782043802,High,"(3, 0.5072704782043802)",2025,13,2025-11-30,Washington Commanders,Denver Broncos,Loss,2025_13_DEN_WAS
SPREAD,Chicago Bears +7.5,-110,0.00409340126044222,0.409340126044222,,"(0, 0.00409340126044222)",2025,13,2025-11-28,Philadelphia Eagles,Chicago Bears,Win,2025_13_CHI_PHI
SPREAD,Detroit Lions -3.0,-110,0.057672062796780055,5.767206279678005,Low,"(1, 0.057672062796780055)",2025,13,2025-11-27,Detroit Lions,Green Bay Packers,Loss,2025_13_GB_DET
MONEYLINE,Baltimore Ravens ML,-245,0.40816326530612246,40.816326530612244,High,"(3, 0.40816326530612246)",2025,13,2025-11-27,Baltimore Ravens,Cincinnati Bengals,Loss,2025_13_CIN_BAL
SPREAD,Dallas Cowboys +4.5,-110,0.12746344561733636,12.746344561733636,High,"(3, 0.12746344561733636)",2025,13,2025-11-27,Dallas Cowboys,Kansas City Chiefs,Win,2025_13_KC_DAL
SPREAD,Los Angeles Chargers +2.5,-110,0.09196739208152671,9.196739208152671,Medium,"(2, 0.09196739208152671)",2025,14,2025-12-08,Los Angeles Chargers,Philadelphia Eagles,Win,2025_14_PHI_LAC
MONEYLINE,Atlanta Falcons ML,-125,0.7447537644334452,74.47537644334452,High,"(3, 0.7447537644334452)",2025,14,2025-12-07,Atlanta Falcons,Seattle Seahawks,Loss,2025_14_SEA_ATL
MONEYLINE,Baltimore Ravens ML,-410,0.24390243902439024,24.390243902439025,High,"(3, 0.24390243902439024)",2025,14,2025-12-07,Baltimore Ravens,Pittsburgh Steelers,Loss,2025_14_PIT_BAL
MONEYLINE,Buffalo Bills ML,-245,0.40816326530612246,40.816326530612244,High,"(3, 0.40816326530612246)",2025,14,2025-12-07,Buffalo Bills,Cincinnati Bengals,Win,2025_14_CIN_BUF
MONEYLINE,Cleveland Browns ML,-125,0.3891544660719548,38.91544660719548,High,"(3, 0.3891544660719548)",2025,14,2025-12-07,Cleveland Browns,Tennessee Titans,Loss,2025_14_TEN_CLE
MONEYLINE,Jacksonville Jaguars ML,-162,0.30304835924759016,30.304835924759015,High,"(3, 0.30304835924759016)",2025,14,2025-12-07,Jacksonville Jaguars,Indianapolis Colts,Win,2025_14_IND_JAX
MONEYLINE,Minnesota Vikings ML,105,0.22999999999999987,22.999999999999986,High,"(3, 0.22999999999999987)",2025,14,2025-12-07,Minnesota Vikings,Washington Commanders,Win,2025_14_WAS_MIN
MONEYLINE,New York Jets ML,105,0.5066121291091086,50.661212910910855,High,"(3, 0.5066121291091086)",2025,14,2025-12-07,New York Jets,Miami Dolphins,Loss,2025_14_MIA_NYJ
MONEYLINE,Tampa Bay Buccaneers ML,-440,0.2272727272727273,22.72727272727273,High,"(3, 0.2272727272727273)",2025,14,2025-12-07,Tampa Bay Buccaneers,New Orleans Saints,Loss,2025_14_NO_TB
MONEYLINE,Las Vegas Raiders ML,154,1.54,154.0,High,"(3, 1.54)",2025,14,2025-12-07,Las Vegas Raiders,Denver Broncos,Loss,2025_14_DEN_LV
MONEYLINE,Arizona Cardinals ML,102,0.21199999999999997,21.199999999999996,High,"(3, 0.21199999999999997)",2025,14,2025-12-07,Arizona Cardinals,Los Angeles Rams,Loss,2025_14_LA_ARI
MONEYLINE,Green Bay Packers ML,-198,0.5050505050505052,50.50505050505052,High,"(3, 0.5050505050505052)",2025,14,2025-12-07,Green Bay Packers,Chicago Bears,Win,2025_14_CHI_GB
MONEYLINE,Kansas City Chiefs ML,-278,0.3597122302158273,35.97122302158273,High,"(3, 0.3597122302158273)",2025,14,2025-12-07,Kansas City Chiefs,Houston Texans,Loss,2025_14_HOU_KC
SPREAD,Dallas Cowboys +6.0,-110,-0.02421786025646394,-2.4217860256463943,,"(0, -0.02421786025646394)",2025,14,2025-12-04,Detroit Lions,Dallas Cowboys,Loss,2025_14_DAL_DET
MONEYLINE,Pittsburgh Steelers ML,-155,0.5982820555709716,59.82820555709716,High,"(3, 0.5982820555709716)",2025,15,2025-12-15,Pittsburgh Steelers,Miami Dolphins,Win,2025_15_MIA_PIT
MONEYLINE,Chicago Bears ML,-310,0.32258064516129026,32.258064516129025,High,"(3, 0.32258064516129026)",2025,15,2025-12-14,Chicago Bears,Cleveland Browns,Win,2025_15_CLE_CHI
MONEYLINE,Cincinnati Bengals ML,114,0.3775385712275795,37.75385712275795,High,"(3, 0.3775385712275795)",2025,15,2025-12-14,Cincinnati Bengals,Baltimore Ravens,Loss,2025_15_BAL_CIN
MONEYLINE,Houston Texans ML,-135,0.7407407407407407,74.07407407407408,High,"(3, 0.7407407407407407)",2025,15,2025-12-14,Houston Texans,Arizona Cardinals,Win,2025_15_ARI_HOU
MONEYLINE,Jacksonville Jaguars ML,-218,0.45871559633027514,45.871559633027516,High,"(3, 0.45871559633027514)",2025,15,2025-12-14,Jacksonville Jaguars,New York Jets,Win,2025_15_NYJ_JAX
MONEYLINE,Kansas City Chiefs ML,-218,0.45871559633027514,45.871559633027516,High,"(3, 0.45871559633027514)",2025,15,2025-12-14,Kansas City Chiefs,Los Angeles Chargers,Loss,2025_15_LAC_KC
MONEYLINE,New England Patriots ML,180,1.5530753738390422,155.30753738390422,High,"(3, 1.5530753738390422)",2025,15,2025-12-14,New England Patriots,Buffalo Bills,Loss,2025_15_BUF_NE
MONEYLINE,New York Giants ML,180,1.7999999999999998,179.99999999999997,High,"(3, 1.7999999999999998)",2025,15,2025-12-14,New York Giants,Washington Commanders,Loss,2025_15_WAS_NYG
MONEYLINE,Denver Broncos ML,-122,0.49537765861604144,49.53776586160414,High,"(3, 0.49537765861604144)",2025,15,2025-12-14,Denver Broncos,Green Bay Packers,Win,2025_15_GB_DEN
MONEYLINE,Los Angeles Rams ML,102,0.21199999999999997,21.199999999999996,High,"(3, 0.21199999999999997)",2025,15,2025-12-14,Los Angeles Rams,Detroit Lions,Win,2025_15_DET_LA
MONEYLINE,New Orleans Saints ML,105,0.5066121291091086,50.661212910910855,High,"(3, 0.5066121291091086)",2025,15,2025-12-14,New Orleans Saints,Carolina Panthers,Win,2025_15_CAR_NO
MONEYLINE,Seattle Seahawks ML,-185,0.5405405405405406,54.054054054054056,High,"(3, 0.5405405405405406)",2025,15,2025-12-14,Seattle Seahawks,Indianapolis Colts,Win,2025_15_IND_SEA
MONEYLINE,San Francisco 49ers ML,-360,0.2777777777777777,27.777777777777768,High,"(3, 0.2777777777777777)",2025,15,2025-12-14,San Francisco 49ers,Tennessee Titans,Win,2025_15_TEN_SF
SPREAD,Las Vegas Raiders +12.5,-110,0.09634558213666655,9.634558213666654,Medium,"(2, 0.09634558213666655)",2025,15,2025-12-14,Philadelphia Eagles,Las Vegas Raiders,Loss,2025_15_LV_PHI
SPREAD,Minnesota Vikings +7.5,-110,0.00409340126044222,0.409340126044222,,"(0, 0.00409340126044222)",2025,15,2025-12-14,Dallas Cowboys,Minnesota Vikings,Win,2025_15_MIN_DAL
MONEYLINE,Tampa Bay Buccaneers ML,-238,0.4201680672268908,42.01680672268908,High,"(3, 0.4201680672268908)",2025,15,2025-12-11,Tampa Bay Buccaneers,Atlanta Falcons,Loss,2025_15_ATL_TB
MONEYLINE,Indianapolis Colts ML,140,1.188350320433465,118.83503204334649,High,"(3, 1.188350320433465)",2025,16,2025-12-22,Indianapolis Colts,San Francisco 49ers,Loss,2025_16_SF_IND
MONEYLINE,Carolina Panthers ML,154,0.5239999999999999,52.39999999999999,High,"(3, 0.5239999999999999)",2025,16,2025-12-21,Carolina Panthers,Tampa Bay Buccaneers,Win,2025_16_TB_CAR
SPREAD,Cleveland Browns +8.5,-110,0.03929053358882112,3.929053358882112,Low,"(1, 0.03929053358882112)",2025,16,2025-12-21,Cleveland Browns,Buffalo Bills,Win,2025_16_BUF_CLE
MONEYLINE,Miami Dolphins ML,105,0.22999999999999987,22.999999999999986,High,"(3, 0.22999999999999987)",2025,16,2025-12-21,Miami Dolphins,Cincinnati Bengals,Loss,2025_16_CIN_MIA
MONEYLINE,New Orleans Saints ML,-125,0.3891544660719548,38.91544660719548,High,"(3, 0.3891544660719548)",2025,16,2025-12-21,New Orleans Saints,New York Jets,Win,2025_16_NYJ_NO
MONEYLINE,New York Giants ML,114,1.1399999999999997,113.99999999999997,High,"(3, 1.1399999999999997)",2025,16,2025-12-21,New York Giants,Minnesota Vikings,Loss,2025_16_MIN_NYG
SPREAD,Tennessee Titans +11.5,-110,0.11467175090962145,11.467175090962145,Medium,"(2, 0.11467175090962145)",2025,16,2025-12-21,Tennessee Titans,Kansas City Chiefs,Win,2025_16_KC_TEN
MONEYLINE,Arizona Cardinals ML,-185,0.5405405405405406,54.054054054054056,High,"(3, 0.5405405405405406)",2025,16,2025-12-21,Arizona Cardinals,Atlanta Falcons,Loss,2025_16_ATL_ARI
MONEYLINE,Denver Broncos ML,-245,0.40816326530612246,40.816326530612244,High,"(3, 0.40816326530612246)",2025,16,2025-12-21,Denver Broncos,Jacksonville Jaguars,Loss,2025_16_JAX_DEN
MONEYLINE,Detroit Lions ML,-258,0.3875968992248062,38.759689922480625,High,"(3, 0.3875968992248062)",2025,16,2025-12-21,Detroit Lions,Pittsburgh Steelers,Loss,2025_16_PIT_DET
MONEYLINE,Houston Texans ML,-205,0.4878048780487805,48.78048780487805,High,"(3, 0.4878048780487805)",2025,16,2025-12-21,Houston Texans,Las Vegas Raiders,Win,2025_16_LV_HOU
MONEYLINE,Baltimore Ravens ML,-425,0.23529411764705888,23.529411764705888,High,"(3, 0.23529411764705888)",2025,16,2025-12-21,Baltimore Ravens,New England Patriots,Loss,2025_16_NE_BAL
SPREAD,Dallas Cowboys -1.5,-110,0.01830072646322639,1.830072646322639,,"(0, 0.01830072646322639)",2025,16,2025-12-21,Dallas Cowboys,Los Angeles Chargers,Loss,2025_16_LAC_DAL
MONEYLINE,Chicago Bears ML,114,1.1399999999999997,113.99999999999997,High,"(3, 1.1399999999999997)",2025,16,2025-12-20,Chicago Bears,Green Bay Packers,Win,2025_16_GB_CHI
SPREAD,Washington Commanders +5.5,-110,0.14477886719310595,14.477886719310595,High,"(3, 0.14477886719310595)",2025,16,2025-12-20,Washington Commanders,Philadelphia Eagles,Loss,2025_16_PHI_WAS
MONEYLINE,Seattle Seahawks ML,105,0.6117005059977184,61.17005059977184,High,"(3, 0.6117005059977184)",2025,16,2025-12-18,Seattle Seahawks,Los Angeles Rams,Win,2025_16_LA_SEA
MONEYLINE,Atlanta Falcons ML,140,1.188350320433465,118.83503204334649,High,"(3, 1.188350320433465)",2025,17,2025-12-29,Atlanta Falcons,Los Angeles Rams,Win,2025_17_LA_ATL
MONEYLINE,Los Angeles Chargers ML,-185,0.5405405405405406,54.054054054054056,High,"(3, 0.5405405405405406)",2025,17,2025-12-27,Los Angeles Chargers,Houston Texans,Loss,2025_17_HOU_LAC
MONEYLINE,Green Bay Packers ML,105,0.36362318472112687,36.36231847211269,High,"(3, 0.36362318472112687)",2025,17,2025-12-27,Green Bay Packers,Baltimore Ravens,Loss,2025_17_BAL_GB
MONEYLINE,Carolina Panthers ML,105,0.5066121291091086,50.661212910910855,High,"(3, 0.5066121291091086)",2025,17,2025-12-28,Carolina Panthers,Seattle Seahawks,Loss,2025_17_SEA_CAR
MONEYLINE,Cincinnati Bengals ML,-185,0.5405405405405406,54.054054054054056,High,"(3, 0.5405405405405406)",2025,17,2025-12-28,Cincinnati Bengals,Arizona Cardinals,Win,2025_17_ARI_CIN
MONEYLINE,Cleveland Browns ML,114,1.1399999999999997,113.99999999999997,High,"(3, 1.1399999999999997)",2025,17,2025-12-28,Cleveland Browns,Pittsburgh Steelers,Win,2025_17_PIT_CLE
MONEYLINE,Indianapolis Colts ML,-125,0.7447537644334452,74.47537644334452,High,"(3, 0.7447537644334452)",2025,17,2025-12-28,Indianapolis Colts,Jacksonville Jaguars,Loss,2025_17_JAX_IND
MONEYLINE,Miami Dolphins ML,105,0.22999999999999987,22.999999999999986,High,"(3, 0.22999999999999987)",2025,17,2025-12-28,Miami Dolphins,Tampa Bay Buccaneers,Win,2025_17_TB_MIA
MONEYLINE,New York Jets ML,105,0.5066121291091086,50.661212910910855,High,"(3, 0.5066121291091086)",2025,17,2025-12-28,New York Jets,New England Patriots,Loss,2025_17_NE_NYJ
MONEYLINE,Tennessee Titans ML,-175,0.5714285714285714,57.14285714285714,High,"(3, 0.5714285714285714)",2025,17,2025-12-28,Tennessee Titans,New Orleans Saints,Loss,2025_17_NO_TEN
MONEYLINE,Las Vegas Raiders ML,-135,0.6133719567103004,61.337195671030045,High,"(3, 0.6133719567103004)",2025,17,2025-12-28,Las Vegas Raiders,New York Giants,Loss,2025_17_NYG_LV
MONEYLINE,San Francisco 49ers ML,-192,0.5208333333333335,52.08333333333335,High,"(3, 0.5208333333333335)",2025,17,2025-12-28,San Francisco 49ers,Chicago Bears,Win,2025_17_CHI_SF
SPREAD,Buffalo Bills -3.0,-110,-0.009921067654057092,-0.9921067654057092,,"(0, -0.009921067654057092)",2025,17,2025-12-28,Buffalo Bills,Philadelphia Eagles,Loss,2025_17_PHI_BUF
MONEYLINE,Minnesota Vikings ML,120,1.0059877937306765,100.59877937306764,High,"(3, 1.0059877937306765)",2025,17,2025-12-25,Minnesota Vikings,Detroit Lions,Win,2025_17_DET_MIN
MONEYLINE,Kansas City Chiefs ML,-205,0.4878048780487805,48.78048780487805,High,"(3, 0.4878048780487805)",2025,17,2025-12-25,Kansas City Chiefs,Denver Broncos,Loss,2025_17_DEN_KC
SPREAD,Washington Commanders +3.0,-110,0.10094138521137219,10.09413852113722,Medium,"(2, 0.10094138521137219)",2025,17,2025-12-25,Washington Commanders,Dallas Cowboys,Loss,2025_17_DAL_WAS
